,map,res_exp3
549,ATA2011,210069.0
550,ATA2012,78310.0
551,ATA2013,30528.0
552,ATA2014,351606.0
553,ATA2015,521710.0
554,ATA2016,1569490.0
555,ATF1972,0.0
556,ATF1973,0.0
557,ATF1974,0.0
558,ATF1975,0.0
559,ATF1976,582893.6306152345
560,ATF1977,0.0
561,ATF1979,0.0
562,ATF1980,0.0
563,ATF1981,0.0
564,ATF1982,0.0
565,ATF1983,0.0
566,ATF1985,0.0
567,ATF1986,190242.25
568,ATF1987,0.0
569,ATF1988,16527.013671875
570,ATF1989,32039.441650390625
571,ATF1990,45490.0
572,ATF1991,3166.0
573,ATF1992,134163.0
574,ATF1993,1125.0
575,ATF1994,18519.0
576,ATF1995,406087.0
577,ATF1996,0.0
578,ATF1997,20135.0
579,ATF1998,903465.0
580,ATF1999,13755.0
581,ATF2000,14959.0
582,ATF2001,1005399.0
583,ATF2002,19446.0
584,ATF2003,374611.0
585,ATF2004,1361076.0
586,ATF2005,14669558.0
587,ATF2006,51046.0
588,ATF2007,526198.0
589,ATF2008,471743.0
590,ATF2009,89599.0
591,ATF2010,172791.0
592,ATF2011,28349.0
593,ATF2012,133464.0
594,ATF2013,138402.0
595,ATF2014,670987.0
596,ATF2015,155366.0
597,ATF2016,36886.0
598,ATG1962,0.0
599,ATG1963,0.0
600,ATG1964,0.0
601,ATG1965,755.25
602,ATG1966,0.0
603,ATG1967,0.0
604,ATG1968,0.0
605,ATG1969,0.0
606,ATG1970,295655.3125
607,ATG1971,154027.001953125
608,ATG1972,437201.7683105469
609,ATG1973,4978484.509521484
610,ATG1974,9844379.9453125
611,ATG1975,10396420.739501953
612,ATG1976,603704.9990844727
613,ATG1977,957933.9565429688
614,ATG1978,50448.74609375
615,ATG1979,97023.43627929688
616,ATG1980,3049443.5501098633
617,ATG1981,1909390.4692993164
618,ATG1982,381905.16107177734
619,ATG1983,1730194.1368408203
620,ATG1984,175486.90747070312
621,ATG1985,67283.65740966797
622,ATG1986,128612.29064941406
623,ATG1987,3359446.550354004
624,ATG1988,1872247.7012939453
625,ATG1989,11025204.091369629
626,ATG1990,6360838.0
627,ATG1991,2708933.0
628,ATG1992,17561152.0
629,ATG1993,18749302.0
630,ATG1994,10990536.0
631,ATG1995,34379026.0
632,ATG1996,2361295.0
633,ATG1997,24828893.0
634,ATG1998,2255849.0
635,ATG1999,5748443.0
636,ATG2000,43343344.0
637,ATG2001,6255687.0
638,ATG2002,16985136.0
639,ATG2003,17766874.0
640,ATG2004,11102090.0
641,ATG2005,9123679.0
642,ATG2006,8508558.0
643,ATG2007,7083800.0
644,ATG2008,44394751.0
645,ATG2009,29143568.0
646,ATG2010,33067101.0
647,ATG2011,93604870.0
648,ATG2012,128101035.0
649,ATG2013,85654503.0
650,ATG2014,65246999.0
651,ATG2015,37568392.0
652,ATG2016,39209051.0
653,AUS1962,561395581.9241638
654,AUS1963,1001154987.56073
655,AUS1964,1106746146.074829
656,AUS1965,1111121845.9955215
657,AUS1966,1118346781.5960083
658,AUS1967,1489371284.5417175
659,AUS1968,1458551802.9151
660,AUS1969,1884441281.211609
661,AUS1970,2365856065.226074
662,AUS1971,2759734541.1519775
663,AUS1972,3072125553.970825
664,AUS1973,3931775984.157715
665,AUS1974,7097522791.539856
666,AUS1975,8023116813.705444
667,AUS1976,8689688008.817749
668,AUS1977,8480856421.10437
669,AUS1978,7071233629.724609
670,AUS1979,11601187947.26947
671,AUS1980,14904904209.527832
672,AUS1981,16460671109.673218
673,AUS1982,16158995482.80243
674,AUS1983,14642346747.418182
675,AUS1984,17857483985.544983
676,AUS1985,17861017233.335327
677,AUS1986,16245892457.088745
678,AUS1987,16869335850.901855
679,AUS1988,19571164103.160156
680,AUS1989,24368603367.44934
681,AUS1990,26931202948.0
682,AUS1991,26123252145.0
683,AUS1992,25793444157.0
684,AUS1993,25582648777.0
685,AUS1994,27756276500.0
686,AUS1995,31685231462.0
687,AUS1996,38746958765.0
688,AUS1997,40157867827.0
689,AUS1998,34146243331.0
690,AUS1999,33332986252.0
691,AUS2000,34908686165.0
692,AUS2001,33162111649.0
693,AUS2002,33615294671.0
694,AUS2003,35443743792.0
695,AUS2004,50155219818.0
696,AUS2005,66322530673.0
697,AUS2006,78020433205.0
698,AUS2007,94100751501.0
699,AUS2008,137414577567.0
700,AUS2009,106246225267.0
701,AUS2010,152513648573.0
702,AUS2011,196572902954.0
703,AUS2012,181423735266.0
704,AUS2013,198365200188.0
705,AUS2014,179454957948.0
706,AUS2015,132436368908.0
707,AUS2016,127238032851.0
708,AUT1962,412858490.47210693
709,AUT1963,493342839.4727478
710,AUT1964,535890636.5897522
711,AUT1965,558449251.0406494
712,AUT1966,570151040.787735
713,AUT1967,563290598.3505402
714,AUT1968,616644166.131012
715,AUT1969,753105789.0862122
716,AUT1970,843613085.0773468
717,AUT1971,849166699.2566147
718,AUT1972,931994525.8948975
719,AUT1973,1374810226.825592
720,AUT1974,1931559175.2980957
721,AUT1975,1887598635.4083862
722,AUT1976,2142102285.8354645
723,AUT1977,2418612320.8126984
724,AUT1978,2850359734.6359863
725,AUT1979,3835168691.4808807
726,AUT1980,4267872658.4179688
727,AUT1981,3629710875.0810547
728,AUT1982,3309384928.977539
729,AUT1983,3261373695.8720703
730,AUT1984,3415183949.772705
731,AUT1985,3631849787.8390503
732,AUT1986,4298452139.394531
733,AUT1987,4912863261.612305
734,AUT1988,5967743528.302734
735,AUT1989,6351434844.477051
736,AUT1990,7537619309.0
737,AUT1991,6627720194.0
738,AUT1992,6883751889.0
739,AUT1993,6037748649.0
740,AUT1994,6977410122.0
741,AUT1995,9491432302.0
742,AUT1996,8986676700.0
743,AUT1997,8033132753.0
744,AUT1998,8770424421.0
745,AUT1999,8223468834.0
746,AUT2000,8002570298.0
747,AUT2001,8112531995.0
748,AUT2002,8798374028.0
749,AUT2003,11373807199.0
750,AUT2004,14260781232.0
751,AUT2005,16923169702.0
752,AUT2006,19458236766.0
753,AUT2007,24689566383.0
754,AUT2008,28023338478.0
755,AUT2009,18912174492.0
756,AUT2010,21874634304.0
757,AUT2011,27686590834.0
758,AUT2012,25641395206.0
759,AUT2013,25830811840.0
760,AUT2014,25298880154.0
761,AUT2015,21079901470.0
762,AUT2016,21723802360.0
763,AZE1992,13712684.0
764,AZE1993,39663087.0
765,AZE1994,20907178.0
766,AZE1995,40481650.0
767,AZE1996,84091712.0
768,AZE1997,284027672.0
769,AZE1998,273885442.0
770,AZE1999,786253876.0
771,AZE2000,1125976573.0
772,AZE2001,1365907729.0
773,AZE2002,1581024722.0
774,AZE2003,1670100302.0
775,AZE2004,2496722238.0
776,AZE2005,3674209486.0
777,AZE2006,7427297289.0
778,AZE2007,12820153440.0
779,AZE2008,29923464688.0
780,AZE2009,17836503555.0
781,AZE2010,22844173695.0
782,AZE2011,31140932662.0
783,AZE2012,29473978522.0
784,AZE2013,28566873034.0
785,AZE2014,27372396848.0
786,AZE2015,14456714375.0
787,AZE2016,12278530525.0
788,BDI1962,3689375.669616699
789,BDI1963,3429215.370361328
790,BDI1964,28299388.152038574
791,BDI1965,27971379.275756836
792,BDI1966,17219868.840911865
793,BDI1967,24331396.846832275
794,BDI1968,24319946.77618408
795,BDI1969,19729307.27331543
796,BDI1970,23793284.550048828
797,BDI1971,16706086.835144043
798,BDI1972,19194333.283569336
799,BDI1973,21387243.00091553
800,BDI1974,17886621.567871094
801,BDI1975,41125461.10269165
802,BDI1976,48728639.095336914
803,BDI1977,70380765.32470703
804,BDI1978,65183363.09375
805,BDI1979,75666132.75933838
806,BDI1980,92115468.54473877
807,BDI1981,77056910.57232666
808,BDI1982,113975378.06213379
809,BDI1983,82175560.12139893
810,BDI1984,80491169.12762451
811,BDI1985,87813691.86572266
812,BDI1986,125755340.97625732
813,BDI1987,83273344.953125
814,BDI1988,110924375.74017334
815,BDI1989,85195082.6427002
816,BDI1990,66842780.0
817,BDI1991,64645084.0
818,BDI1992,66655785.0
819,BDI1993,61340172.0
820,BDI1994,73835419.0
821,BDI1995,146722530.0
822,BDI1996,65564276.0
823,BDI1997,83245099.0
824,BDI1998,68889176.0
825,BDI1999,53844366.0
826,BDI2000,52091008.0
827,BDI2001,28365765.0
828,BDI2002,27368965.0
829,BDI2003,34024865.0
830,BDI2004,29287337.0
831,BDI2005,75494097.0
832,BDI2006,40812968.0
833,BDI2007,58255427.0
834,BDI2008,40070794.0
835,BDI2009,69053484.0
836,BDI2010,55340487.0
837,BDI2011,112394680.0
838,BDI2012,89916636.0
839,BDI2013,64111475.0
840,BDI2014,48470072.0
841,BDI2015,68126582.0
842,BDI2016,57602411.0
843,BEL1962,1878994938.1509094
844,BEL1963,2021103700.5572205
845,BEL1964,2371987674.343689
846,BEL1965,2616216192.4536133
847,BEL1966,3114225341.236145
848,BEL1967,3213225533.878372
849,BEL1968,3654361019.646759
850,BEL1969,3962598899.537964
851,BEL1970,4491359921.97876
852,BEL1971,4295868350.79541
853,BEL1972,5534049573.182739
854,BEL1973,8023557447.253754
855,BEL1974,10734789092.932129
856,BEL1975,9679565547.180176
857,BEL1976,10737532374.872925
858,BEL1977,12436268147.375732
859,BEL1978,14307900460.625854
860,BEL1979,19003339945.772522
861,BEL1980,22784519522.531006
862,BEL1981,19118187084.14154
863,BEL1982,17114153506.507812
864,BEL1983,16945835804.865234
865,BEL1984,17170072755.998047
866,BEL1985,16588347358.246094
867,BEL1986,19080224284.984375
868,BEL1987,21745583617.265625
869,BEL1988,26426524188.15625
870,BEL1989,29886034115.655273
871,BEL1990,32600599072.0
872,BEL1991,31710260238.0
873,BEL1992,32054293229.0
874,BEL1993,29383354226.0
875,BEL1994,33315291668.0
876,BEL1995,39654121485.0
877,BEL1996,39288588975.0
878,BEL1997,39173263142.0
