,oil_rents,map
233,2.41217130562522,EAR2016
234,3.07651223962021,EAR2017
235,,EAR2018
236,,EAS1960
237,,EAS1961
238,,EAS1962
239,,EAS1963
240,,EAS1964
241,,EAS1965
242,,EAS1966
243,,EAS1967
244,,EAS1968
245,,EAS1969
246,0.0165737134199622,EAS1970
247,0.0534267759041005,EAS1971
248,0.11540457878612699,EAS1972
249,0.226961880066771,EAS1973
250,1.22502740120055,EAS1974
251,1.28373558807246,EAS1975
252,1.44219313800682,EAS1976
253,1.47389519619333,EAS1977
254,1.20033058416668,EAS1978
255,2.57436476383372,EAS1979
256,2.7557303902987402,EAS1980
257,2.02659832665627,EAS1981
258,1.29907325866462,EAS1982
259,1.4944913954419698,EAS1983
260,1.5088940168791598,EAS1984
261,1.44304465925026,EAS1985
262,0.533435500979365,EAS1986
263,0.6794186668808,EAS1987
264,0.437073572795966,EAS1988
265,0.6177105584009929,EAS1989
266,0.8244134033951959,EAS1990
267,0.42934280359436294,EAS1991
268,0.439922410590838,EAS1992
269,0.390637621360039,EAS1993
270,0.31756273853808603,EAS1994
271,0.310546095939917,EAS1995
272,0.41934950306024393,EAS1996
273,0.39181604981595397,EAS1997
274,0.22083150233728896,EAS1998
275,0.32495369950993397,EAS1999
276,0.623430546327315,EAS2000
277,0.47311476774114897,EAS2001
278,0.480990160046758,EAS2002
279,0.49959879188723794,EAS2003
280,0.65379891207175,EAS2004
281,0.930367089936396,EAS2005
282,1.04271345700948,EAS2006
283,0.9935050682950219,EAS2007
284,1.20925949784313,EAS2008
285,0.6023979720000301,EAS2009
286,0.7885428292512671,EAS2010
287,1.0037836047602802,EAS2011
288,0.914949042659456,EAS2012
289,0.8196869994331829,EAS2013
290,0.7033534546140631,EAS2014
291,0.28104286309213106,EAS2015
292,0.21466379528193802,EAS2016
293,0.284389255947596,EAS2017
294,,EAS2018
295,,EAP1960
296,,EAP1961
297,,EAP1962
298,,EAP1963
299,,EAP1964
300,,EAP1965
301,,EAP1966
302,,EAP1967
303,,EAP1968
304,,EAP1969
305,0.0453891537151972,EAP1970
306,0.142830132748067,EAP1971
307,0.34070132518617896,EAP1972
308,0.70146657169396,EAP1973
309,3.9869969897346,EAP1974
310,4.104954413522099,EAP1975
311,5.07488759069257,EAP1976
312,5.38959248280018,EAP1977
313,5.783364332068371,EAP1978
314,12.273396226004099,EAP1979
315,11.9251697081179,EAP1980
316,9.097210679141641,EAP1981
317,5.44548509251952,EAP1982
318,6.3212189451872005,EAP1983
319,6.21385831222471,EAP1984
320,5.55780300420953,EAP1985
321,2.7324473044359796,EAP1986
322,4.13051528131678,EAP1987
323,2.9024181554696296,EAP1988
324,3.9961962976722996,EAP1989
325,5.1261634865840096,EAP1990
326,2.8002586558897997,EAP1991
327,2.79960736980966,EAP1992
328,2.54770736183484,EAP1993
329,1.91714930678981,EAP1994
330,1.7277778985008703,EAP1995
331,1.95804094121279,EAP1996
332,1.68078733316263,EAP1997
333,0.93586529841229,EAP1998
334,1.3981730033396298,EAP1999
335,2.5609248383662595,EAP2000
336,1.7168902890043403,EAP2001
337,1.6125010730128797,EAP2002
338,1.6563636812885703,EAP2003
339,2.12938125520988,EAP2004
340,2.7802678452803997,EAP2005
341,2.73715112364913,EAP2006
342,2.29787146629177,EAP2007
343,2.5646153861254,EAP2008
344,1.213793866971,EAP2009
345,1.5305679351109198,EAP2010
346,1.8630813792311498,EAP2011
347,1.6365756736457,EAP2012
348,1.36270592418023,EAP2013
349,1.11758971145455,EAP2014
350,0.42941727975020794,EAP2015
351,0.33399928903905396,EAP2016
352,0.433411428916996,EAP2017
353,,EAP2018
354,,TEA1960
355,,TEA1961
356,,TEA1962
357,,TEA1963
358,,TEA1964
359,,TEA1965
360,,TEA1966
361,,TEA1967
362,,TEA1968
363,,TEA1969
364,0.0453891537151972,TEA1970
365,0.142830132748067,TEA1971
366,0.34070132518617896,TEA1972
367,0.70146657169396,TEA1973
368,3.9869969897346,TEA1974
369,4.104954413522099,TEA1975
370,5.07488759069257,TEA1976
371,5.38959248280018,TEA1977
372,5.783364332068371,TEA1978
373,12.273396226004099,TEA1979
374,11.9251697081179,TEA1980
375,9.097210679141641,TEA1981
376,5.44548509251952,TEA1982
377,6.3212189451872005,TEA1983
378,6.21385831222471,TEA1984
379,5.55780300420954,TEA1985
380,2.7324473044359796,TEA1986
381,4.13051528131678,TEA1987
382,2.9024181554696296,TEA1988
383,3.9961962976722996,TEA1989
384,5.1261634865840096,TEA1990
385,2.8002586558897997,TEA1991
386,2.79960736980966,TEA1992
387,2.54770736183484,TEA1993
388,1.91714930678981,TEA1994
389,1.7277778985008703,TEA1995
390,1.95804094121279,TEA1996
391,1.68078733316263,TEA1997
392,0.935865298412289,TEA1998
393,1.3981730033396298,TEA1999
394,2.5609248383662595,TEA2000
395,1.7168902890043403,TEA2001
396,1.6129077618873502,TEA2002
397,1.65674198373624,TEA2003
398,2.12978865263586,TEA2004
399,2.78071919191332,TEA2005
400,2.73751494300834,TEA2006
401,2.2981244703892596,TEA2007
402,2.56485686911514,TEA2008
403,1.21392075750807,TEA2009
404,1.5306800069128201,TEA2010
405,1.8631925845429298,TEA2011
406,1.6366739155472299,TEA2012
407,1.36277969268971,TEA2013
408,1.1176461520853702,TEA2014
409,0.4294387101563521,TEA2015
410,0.334015466856623,TEA2016
411,0.433430108527378,TEA2017
412,,TEA2018
413,,EMU1960
414,,EMU1961
415,,EMU1962
416,,EMU1963
417,,EMU1964
418,,EMU1965
419,,EMU1966
420,,EMU1967
421,,EMU1968
422,,EMU1969
423,0.00209547001865648,EMU1970
424,0.00242147013494716,EMU1971
425,0.00292131754796163,EMU1972
426,0.00566265529122792,EMU1973
427,0.0414539201211779,EMU1974
428,0.0316849650973451,EMU1975
429,0.0323533097910193,EMU1976
430,0.0281043697148281,EMU1977
431,0.0233155908594225,EMU1978
432,0.0474030837298966,EMU1979
433,0.0561856032981916,EMU1980
434,0.0475833806336701,EMU1981
435,0.0305640154912215,EMU1982
436,0.0565422740499012,EMU1983
437,0.0624283815856599,EMU1984
438,0.0672931335807257,EMU1985
439,0.0207825189189943,EMU1986
440,0.0290512521180543,EMU1987
441,0.0203149314190925,EMU1988
442,0.0295620291770603,EMU1989
443,0.0312735091365981,EMU1990
444,0.0137087361738837,EMU1991
445,0.0127318600960171,EMU1992
446,0.0129014985075937,EMU1993
447,0.0117054695760052,EMU1994
448,0.0108514044385366,EMU1995
449,0.0141145058303408,EMU1996
450,0.0118629498949855,EMU1997
451,0.0028061610255830398,EMU1998
452,0.00892796109873156,EMU1999
453,0.0224330702552811,EMU2000
