,eci3,map
161,-0.13106789010768422,SLV1988
162,-0.4457396612836965,SOM1988
163,-0.4527210489254882,SPM1988
164,-0.8510662454427954,STP1988
165,0.769415329879757,SUN1988
166,-0.3138244789285469,SUR1988
167,2.1907544002769397,SWE1988
168,-1.7702874900233618,SWZ1988
169,-1.5768015926181107,SYC1988
170,-1.1616768321963395,SYR1988
171,-0.10722227481460908,TCA1988
172,-1.3704139341553407,TCD1988
173,-1.128816367624156,TGO1988
174,0.4651096829433583,THA1988
175,0.6702654764317433,TKL1988
176,2.0889899870382136,TLS1988
177,-0.8246309977468275,TON1988
178,-0.21770949651103655,TTO1988
179,-0.4392024463510096,TUN1988
180,-0.5873144212160334,TUR1988
181,1.5225806629231045,TUV1988
182,2.0303182551417245,TWN1988
