,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t,eci1_hat_t1,eci1_t1,eci2_hat_t1,eci2_t2,eci3_hat_t1,eci3_t1
105,,,,1855.2490960984956,83890946.77049755,,,,0.1934528062683009,1.347205888857255,,CEB1990,CEB,1990,12,7,,,,,,
106,,,,2734.314199900177,78310570.0908936,,,,0.0894875791348478,0.5860672736983995,,CEB1995,CEB,1995,12,8,,,,,,
107,,,,3423.5040076574796,69631495.07391338,,,,0.1237707714537625,0.6188111290154833,,CEB2000,CEB,2000,12,9,,,,,,
108,,,,6171.313160890743,57372002.97084057,,,,0.09932805680072763,0.6611328794262072,,CEB2005,CEB,2005,12,10,,,,,,
109,,,,4758.6336499204435,36751217.90854973,,,,0.07340565184136477,0.4141842787736493,,CEB2010,CEB,2010,12,11,,,,,,
110,,,,,,,,,,,,CEB2015,CEB,2015,12,12,,,,,,
111,,,,,,,,,,,,CHE2015,CHE,2015,12,12,,,,,,
112,,,,,97882.30504757383,,,,,,,CHI1960,CHI,1960,12,1,,,,,,
113,,,,,101828.76439042283,,,,,,,CHI1965,CHI,1965,12,2,,,,,,
114,,,,,105468.51853048263,,,,,,,CHI1970,CHI,1970,12,3,,,,,,
115,,,,,106530.21444743307,,,,,,,CHI1975,CHI,1975,12,4,,,,,,
116,,,,,106531.22969221829,,,,,,,CHI1980,CHI,1980,12,5,,,,,,
117,,,,,108475.06104199636,,,,,,,CHI1985,CHI,1985,12,6,,,,,,
118,,,,,108129.56156081156,,,,,,,CHI1990,CHI,1990,12,7,,,,,,
119,,,,29674.592960998765,104318.54592400104,,,,,0.0,,CHI1995,CHI,1995,12,8,,,,,,
120,,,,30285.677730177584,98028.92285724593,,,,,0.0,,CHI2000,CHI,2000,12,9,,,,,,
121,,,,35026.28901573518,85177.14105480196,,,,,0.0,,CHI2005,CHI,2005,12,10,,,,,,
122,,,,,57034.172310335154,,,,,,,CHI2010,CHI,2010,12,11,,,,,,
123,,,,,,,,,,,,CHI2015,CHI,2015,12,12,,,,,,
124,,,,,,,,,,,,CHL2015,CHL,2015,12,12,,,,,,
125,,,,,,,,,,,,CHN2015,CHN,2015,12,12,,,,,,
126,,,,,,,,,,,,CIV2015,CIV,2015,12,12,,,,,,
127,,,,,,,,,,,,CMR2015,CMR,2015,12,12,,,,,,
128,,,,,,,,,,,,COD2015,COD,2015,12,12,,,,,,
129,,,,,,,,,,,,COG2015,COG,2015,12,12,,,,,,
130,,,,,,,,,,,,COK2015,COK,2015,10,10,,,,,,
131,,,,,,,,,,,,COL2015,COL,2015,12,12,,,,,,
132,,,,,,,,,,,,COM2015,COM,2015,12,12,,,,,,
133,,,,,,,,,,,,CPV2015,CPV,2015,12,12,,,,,,
134,,,,,,,,,,,,CRI2015,CRI,2015,12,12,,,,,,
135,,,,,,,,,,,,CSK1990,CSK,1990,6,6,,,,,,
136,,,,434.5535741707341,3823691.8792946194,,,,,,,CSS1960,CSS,1960,12,1,,,,,,
137,,,,552.9211894938361,4087297.8801593035,,,,,,,CSS1965,CSS,1965,12,2,,,,,,
138,,,,812.3163953267973,4287237.1932318285,,,,4.734849586039598,8.178672616034257,,CSS1970,CSS,1970,12,3,,,,,,
139,,,,1417.0597232337855,4456737.116491665,,,,10.356797420059877,14.986983555386988,,CSS1975,CSS,1975,12,4,,,,,,
140,,,,2227.2929662908537,4610594.0808423525,,,,7.58487921060387,10.587194530589032,,CSS1980,CSS,1980,12,5,,,,,,
141,,,,2085.9228850922173,4686086.41893194,,,,3.5457446301270994,5.62443384255111,,CSS1985,CSS,1985,12,6,,,,,,
142,,,,2284.287184935842,4661148.936964473,,,,2.6617749792285093,4.873123855095996,,CSS1990,CSS,1990,12,7,,,,,,
143,,,,3043.874809580525,4572547.499844941,,,,1.4655947537340412,2.7409172872991747,,CSS1995,CSS,1995,12,8,,,,,,
144,,,,3705.444853271269,4302199.604906033,,,,1.6089338137426143,2.8027229932197124,,CSS2000,CSS,2000,12,9,,,,,,
145,,,,4630.8773229784965,3729194.6320301737,,,,2.1556400178437984,4.1105662387920185,,CSS2005,CSS,2005,12,10,,,,,,
146,,,,3457.9922587655437,2500952.822192571,,,,1.1784417878273492,3.3581303225003065,,CSS2010,CSS,2010,12,11,,,,,,
147,,,,,,,,,,,,CSS2015,CSS,2015,12,12,,,,,,
148,,,,,,,,,,,,CUB2015,CUB,2015,12,12,,,,,,
149,,,,,112930.17094306172,,,,,,,CUW1960,CUW,1960,12,1,,,,,,
150,,,,,120130.56546940914,,,,,,,CUW1965,CUW,1965,12,2,,,,,,
151,,,,,125528.04739444153,,,,,,,CUW1970,CUW,1970,12,3,,,,,,
152,,,,,124732.21151208856,,,,,,,CUW1975,CUW,1975,12,4,,,,,,
153,,,,,122751.85232713267,,,,,,,CUW1980,CUW,1980,12,5,,,,,,
154,,,,,119513.32311955314,,,,,,,CUW1985,CUW,1985,12,6,,,,,,
155,,,,,109946.78329048981,,,,,,,CUW1990,CUW,1990,12,7,,,,,,
156,,,,,103367.30471782883,,,,,,,CUW1995,CUW,1995,12,8,,,,,,
157,,,,,85502.81801944817,,,,,,,CUW2000,CUW,2000,12,9,,,,,,
158,,,,,77911.84561149626,,,,,,,CUW2005,CUW,2005,12,10,,,,,,
159,,,,,,,,,,,,CUW2015,CUW,2015,12,12,,,,,,
160,,,,,,,,,,,,CXR2015,CXR,2015,10,10,,,,,,
161,,,,,7119.779029882306,,,,,,,CYM1960,CYM,1960,12,1,,,,,,
162,,,,,,,,,,,,CYM2015,CYM,2015,12,12,,,,,,
163,,,,,,,,,,,,CYP2015,CYP,2015,12,12,,,,,,
164,,,,,8462536.49601977,,,,,,,CZE1960,CZE,1960,12,1,,,,,,
165,,,,,8533702.189156534,,,,,,,CZE1965,CZE,1965,12,2,,,,,,
166,,,,,8446491.450272517,,,,,,,CZE1970,CZE,1970,12,3,,,,,,
167,,,,,8532338.523901021,,,,,,,CZE1975,CZE,1975,12,4,,,,,,
168,,,,,8442482.868463792,,,,,,,CZE1980,CZE,1980,12,5,,,,,,
169,,,,,8212237.011989455,,,,,,,CZE1985,CZE,1985,12,6,,,,,,
170,,,,,,,,,,,,CZE2015,CZE,2015,12,12,,,,,,
171,,,,,,,,,,,,DEU2015,DEU,2015,12,12,,,,,,
172,,,,,,,,,,,,DJI2015,DJI,2015,12,12,,,,,,
173,,,,,,,,,,,,DMA2015,DMA,2015,12,12,,,,,,
174,,,,,,,,,,,,DNK2015,DNK,2015,12,12,,,,,,
175,,,,,,,,,,,,DOM2015,DOM,2015,12,12,,,,,,
176,,,,,,,,,,,,DZA2015,DZA,2015,12,12,,,,,,
177,,,,70.27753848376838,802701139.452672,,,,,,,EAP1960,EAP,1960,12,1,,,,,,
178,,,,86.37573871572405,892814114.0105457,,,,,,,EAP1965,EAP,1965,12,2,,,,,,
179,,,,120.25500987271951,1002917044.9982336,,,,0.8909361404121945,3.140766977615487,,EAP1970,EAP,1970,12,3,,,,,,
180,,,,179.64542118594494,1087053070.2053401,,,,5.468492743276129,10.074757901093298,,EAP1975,EAP,1975,12,4,,,,,,
181,,,,245.87801084665367,1149851234.0668874,,,,6.384684634935759,11.601671301926196,,EAP1980,EAP,1980,12,5,,,,,,
182,,,,286.04881951678414,1211287125.6719987,,,,3.0662177758372438,5.941606243329657,,EAP1985,EAP,1985,12,6,,,,,,
183,,,,380.3145598808815,1256021546.383322,,,,2.3112197304935784,4.41259318748634,,EAP1990,EAP,1990,12,7,,,,,,
184,,,,601.7247672741871,1258253283.3844779,,,,1.102026529012917,2.199741761842533,,EAP1995,EAP,1995,12,8,,,,,,
185,,,,744.8592642835284,1200802496.763532,,,,1.2569572129666629,2.4236446367589863,,EAP2000,EAP,2000,12,9,,,,,,
186,,,,1358.3952699961685,1047365629.3895429,,,,1.262162154108566,3.6939110991908968,,EAP2005,EAP,2005,12,10,,,,,,
187,,,,1871.9173505877661,705282233.2762094,,,,0.5310740063204924,1.823688579950008,,EAP2010,EAP,2010,12,11,,,,,,
188,,,,,,,,,,,,EAP2015,EAP,2015,12,12,,,,,,
189,,,,140.85849401280078,901662561.0880687,,,,,,,EAR1960,EAR,1960,12,1,,,,,,
190,,,,168.6338976855336,1004885657.2539995,,,,,,,EAR1965,EAR,1965,12,2,,,,,,
191,,,,249.01001476386318,1119178881.3672843,,,,4.363393692594214,5.385978322605675,,EAR1970,EAR,1970,12,3,,,,,,
192,,,,451.39317499427824,1241112654.42869,,,,11.171157285030352,12.50670472138265,,EAR1975,EAR,1975,12,4,,,,,,
193,,,,675.8380458098396,1371925740.5274918,,,,9.828244620823918,11.269804531252772,,EAR1980,EAR,1980,12,5,,,,,,
194,,,,623.095574621428,1504126061.1981645,,,,4.621625021157356,5.871761982185385,,EAR1985,EAR,1985,12,6,,,,,,
195,,,,759.306438009758,1613003981.171618,,,,4.499228226085648,5.479076159856081,,EAR1990,EAR,1990,12,7,,,,,,
196,,,,856.3492914070108,1675498229.9013546,,,,3.339143260155619,4.1193063416007565,,EAR1995,EAR,1995,12,8,,,,,,
197,,,,878.6289556313973,1663821672.15115,,,,4.2188657753024446,5.1107542000418915,,EAR2000,EAR,2000,12,9,,,,,,
198,,,,1214.3643308256171,1512358661.301232,,,,4.897826196887844,6.372013974962844,,EAR2005,EAR,2005,12,10,,,,,,
199,,,,1154.6236497355064,1059586821.8697467,,,,2.642249509575172,3.6458116173000086,,EAR2010,EAR,2010,12,11,,,,,,
200,,,,,,,,,,,,EAR2015,EAR,2015,12,12,,,,,,
201,,,,138.13646773137353,936385084.66931,,,,,,,EAS1960,EAS,1960,12,1,,,,,,
202,,,,201.23166310403,1035852843.8193992,,,,,,,EAS1965,EAS,1965,12,2,,,,,,
203,,,,377.57959594395317,1155646766.5604708,,,,0.2796063608838117,1.1753364199224832,,EAS1970,EAS,1970,12,3,,,,,,
204,,,,717.862591568655,1248022527.538851,,,,1.3366131324948964,2.7013599929770287,,EAS1975,EAS,1975,12,4,,,,,,
205,,,,1025.7466304432983,1316110662.8360622,,,,1.4871570803844687,2.8629693488273342,,EAS1980,EAS,1980,12,5,,,,,,
206,,,,1629.902264944469,1379719534.0644786,,,,0.5889299771459054,1.2215677011319068,,EAS1985,EAS,1985,12,6,,,,,,
207,,,,2412.786679507325,1423337430.2694242,,,,0.3654342489895637,0.7542817829129017,,EAS1990,EAS,1990,12,7,,,,,,
208,,,,2773.292921063557,1420997816.6552846,,,,0.2386327238624025,0.5158197486663931,,EAS1995,EAS,1995,12,8,,,,,,
209,,,,2622.3574926005967,1352388923.0985222,,,,0.3547586262375056,0.7561915938485763,,EAS2000,EAS,2000,12,9,,,,,,
210,,,,3120.6964138987364,1176868413.9325686,,,,0.5201892189083577,1.7340914702214951,,EAS2005,EAS,2005,12,10,,,,,,
211,,,,3184.1084713971272,790981948.669001,,,,0.2991285081172355,1.1599921868242804,,EAS2010,EAS,2010,12,11,,,,,,
212,,,,,,,,,,,,EAS2015,EAS,2015,12,12,,,,,,
213,,,,,248871970.59929144,,,,,,,ECA1960,ECA,1960,12,1,,,,,,
214,,,,,263198185.88814443,,,,,,,ECA1965,ECA,1965,12,2,,,,,,
215,,,,,274326660.0358581,,,,0.10099538087695414,0.6356271452265306,,ECA1970,ECA,1970,12,3,,,,,,
216,,,,,284162093.6943011,,,,0.1925593333693431,0.7046963439448534,,ECA1975,ECA,1975,12,4,,,,,,
217,,,,,292339711.31456405,,,,0.2707331558489451,1.1258130225029481,,ECA1980,ECA,1980,12,5,,,,,,
218,,,,1855.731886406022,298102971.9140934,,,,1.6702654502336551,2.6083582374721623,,ECA1985,ECA,1985,12,6,,,,,,
219,,,,1638.5631930487375,295617142.34943265,,,,2.6125671931285352,4.4643568825600175,,ECA1990,ECA,1990,12,7,,,,,,
220,,,,1347.2850745125068,280416697.5554566,,,,1.8245845683314592,3.0709703261143786,,ECA1995,ECA,1995,12,8,,,,,,
221,,,,1495.2901859043432,254661640.9417652,,,,3.8084542401812183,6.574720617378062,,ECA2000,ECA,2000,12,9,,,,,,
222,,,,3399.1695969080683,214694504.63417757,,,,3.7249530214465496,6.233526853007829,,ECA2005,ECA,2005,12,10,,,,,,
223,,,,3382.038283540985,142655807.13387042,,,,2.4005357845137034,3.9102238507102536,,ECA2010,ECA,2010,12,11,,,,,,
224,,,,,,,,,,,,ECA2015,ECA,2015,12,12,,,,,,
225,,,,664.6659300825178,599429898.5856726,,,,,,,ECS1960,ECS,1960,12,1,,,,,,
226,,,,944.6550605150128,623791126.5246612,,,,,,,ECS1965,ECS,1965,12,2,,,,,,
227,,,,1646.7175594124942,640176404.4439435,,,,0.009796800329329272,0.21180157728441606,,ECS1970,ECS,1970,12,3,,,,,,
228,,,,3174.8509980591584,652033388.680883,,,,0.12417192726947912,0.496402737535025,,ECS1975,ECS,1975,12,4,,,,,,
229,,,,4093.609985736015,657891374.2012589,,,,0.32010678249170976,0.7035783619442496,,ECS1980,ECS,1980,12,5,,,,,,
230,,,,5685.827329150738,657272783.5641488,,,,0.35838521224566,0.5912888119884288,,ECS1985,ECS,1985,12,6,,,,,,
231,,,,8257.898555561738,646067319.7001369,,,,0.3530101597114142,0.6162605384688883,,ECS1990,ECS,1990,12,7,,,,,,
232,,,,8964.633167228641,614475796.2216867,,,,0.22337055577147552,0.3748814407237704,,ECS1995,ECS,1995,12,8,,,,,,
233,,,,9062.597665270028,562007990.3668128,,,,0.4591352696989754,0.7740048038331436,,ECS2000,ECS,2000,12,9,,,,,,
234,,,,12353.354129210064,478171221.408136,,,,0.6160825091878938,1.0586886039657455,,ECS2005,ECS,2005,12,10,,,,,,
235,,,,8970.249887186263,316515382.83148617,,,,0.5015540685657043,0.8465578218984107,,ECS2010,ECS,2010,12,11,,,,,,
236,,,,,,,,,,,,ECS2015,ECS,2015,12,12,,,,,,
237,,,,,,,,,,,,ECU2015,ECU,2015,12,12,,,,,,
238,,,,,,,,,,,,EGY2015,EGY,2015,12,12,,,,,,
239,,,,989.0256518381187,237280087.43127853,,,,,,,EMU1960,EMU,1960,12,1,,,,,,
240,,,,1491.2518239384315,244422865.64332,,,,,,,EMU1965,EMU,1965,12,2,,,,,,
241,,,,2737.7926566163183,248484160.9380248,,,,0.009315946620568344,0.19304709061969832,,EMU1970,EMU,1970,12,3,,,,,,
242,,,,5411.724722812318,250337211.94288528,,,,0.027297266534876883,0.37313305951606335,,EMU1975,EMU,1975,12,4,,,,,,
243,,,,6871.075743096241,248906718.89603117,,,,0.0414651777770569,0.40092493460321865,,EMU1980,EMU,1980,12,5,,,,,,
244,,,,9846.615679196364,244303850.32824495,,,,0.02650552031224452,0.1858340804156436,,EMU1985,EMU,1985,12,6,,,,,,
245,,,,15192.250987855045,238902244.31511718,,,,0.012524752474601974,0.0907798414156174,,EMU1990,EMU,1990,12,7,,,,,,
246,,,,16310.77544662924,228063064.84931,,,,0.0069497682935349215,0.05785334088042804,,EMU1995,EMU,1995,12,8,,,,,,
247,,,,15692.960161203133,210645845.6678334,,,,0.012334446088733854,0.08717100488283958,,EMU2000,EMU,2000,12,9,,,,,,
248,,,,20156.46007829985,180999218.7854249,,,,0.015362098373145816,0.09806039790110753,,EMU2005,EMU,2005,12,10,,,,,,
249,,,,13784.248816873142,119041334.05247764,,,,0.012806451505665149,0.07295981458079671,,EMU2010,EMU,2010,12,11,,,,,,
250,,,,,,,,,,,,EMU2015,EMU,2015,12,12,,,,,,
251,,,,,1291227.6221997263,,,,,,,ERI1960,ERI,1960,12,1,,,,,,
252,,,,,1452279.197858336,,,,,,,ERI1965,ERI,1965,12,2,,,,,,
253,,,,,1634245.564548189,,,,,,,ERI1970,ERI,1970,12,3,,,,,,
254,,,,,1839642.6916446746,,,,,,,ERI1975,ERI,1975,12,4,,,,,,
255,,,,,2068895.24475526,,,,,,,ERI1980,ERI,1980,12,5,,,,,,
256,,,,,2316043.6766083203,,,,,,,ERI1985,ERI,1985,12,6,,,,,,
257,,,,,,,,,,,,ERI2015,ERI,2015,12,12,,,,,,
258,,,,,,,,,,,,ESH2015,ESH,2015,10,10,,,,,,
259,,,,,,,,,,,,ESP2015,ESP,2015,12,12,,,,,,
260,,,,,1090764.4704875015,,,,,,,EST1960,EST,1960,12,1,,,,,,
261,,,,,1143907.553535176,,,,,,,EST1965,EST,1965,12,2,,,,,,
262,,,,,1187429.3352848908,,,,,,,EST1970,EST,1970,12,3,,,,,,
263,,,,,1214783.8894778057,,,,,,,EST1975,EST,1975,12,4,,,,,,
264,,,,,1226202.5589830398,,,,,,,EST1980,EST,1980,12,5,,,,,,
265,,,,,1230212.2373518792,,,,,,,EST1985,EST,1985,12,6,,,,,,
266,,,,,,,,,,,,EST2015,EST,2015,12,12,,,,,,
267,,,,,,,,,,,,ETH2015,ETH,2015,12,12,,,,,,
268,,,,912.1141522623367,365734832.1096583,,,,,,,EUU1960,EUU,1960,12,1,,,,,,
269,,,,1312.3294922229352,376029466.32517684,,,,,,,EUU1965,EUU,1965,12,2,,,,,,
270,,,,2325.061503944481,381848301.1437093,,,,0.007597191882278599,0.19905450302378436,,EUU1970,EUU,1970,12,3,,,,,,
271,,,,4498.78485022934,384502327.3090267,,,,0.09690989444789427,0.4620822181551411,,EUU1975,EUU,1975,12,4,,,,,,
272,,,,5889.7608905591305,382375568.79735214,,,,0.2725727267491252,0.6457565550328596,,EUU1980,EUU,1980,12,5,,,,,,
273,,,,8355.548104868449,375677991.50283897,,,,0.16393971075439734,0.34329034990763097,,EUU1985,EUU,1985,12,6,,,,,,
274,,,,12692.21410019112,365608916.8796216,,,,0.07544462681643957,0.18909471549395987,,EUU1990,EUU,1990,12,7,,,,,,
275,,,,14113.363247161844,347643981.40935904,,,,0.05934538166042391,0.13206078619086584,,EUU1995,EUU,1995,12,8,,,,,,
276,,,,14145.397047246233,318729459.73211384,,,,0.10080942116429648,0.2153085249150136,,EUU2000,EUU,2000,12,9,,,,,,
277,,,,18264.028086844435,272001860.4539941,,,,0.09547227955036956,0.2300064387768572,,EUU2005,EUU,2005,12,10,,,,,,
