code,year,residual
CZE,1997,1.3377586019778704
CZE,1998,1.5285643768559167
CZE,1999,1.2993798252843483
CZE,2000,1.2199107636341509
CZE,2001,1.724302751008015
CZE,2002,1.9042406963900667
CZE,2003,2.0350696001001345
CZE,2004,2.006299873384896
CZE,2005,1.805322868126658
CZE,2006,1.771029943239207
CZE,2007,1.9554863713972324
CZE,2008,1.8505714627793548
CZE,2009,1.4112416443709983
CZE,2010,1.8080444618637415
CZE,2011,1.861220405736041
CZE,2012,1.7650867436257471
CZE,2013,1.7450643172093958
CZE,2014,2.157648420981727
CZE,2015,2.2116473620868713
CZE,2016,1.8039746176295866
DEU,1970,2.9771221100527767
DEU,1971,2.7637791867016372
DEU,1972,3.021006068815606
DEU,1973,2.8457094144755195
DEU,1974,2.814282353038905
DEU,1975,2.5093263047937264
DEU,1976,2.558032883658507
DEU,1977,2.4344896045841087
DEU,1978,2.5766693057448276
DEU,1979,2.4344950633145257
DEU,1980,2.5516495733375435
DEU,1981,2.435567800860667
DEU,1982,2.3553036290009803
DEU,1983,2.3070562850817478
DEU,1984,2.285707821664772
DEU,1985,2.3712352476418186
DEU,1986,2.4543065576062357
DEU,1987,1.9176259690273862
DEU,1988,2.218857802310384
DEU,1989,2.0417502969462586
DEU,1990,2.094008516818707
DEU,1991,2.241210579080474
DEU,1992,-0.3348337545167457
DEU,1993,-0.12332868365495914
DEU,1994,2.0613683778036638
DEU,1995,1.9507477375637434
DEU,1996,2.122627989814181
DEU,1997,1.9924009458514071
DEU,1998,1.8815299248917956
DEU,1999,1.8899547209717964
DEU,2000,2.0358063320162834
DEU,2001,1.9913602466457316
DEU,2002,1.9660606495749733
DEU,2003,2.2735332187248503
DEU,2004,1.758288882956215
DEU,2005,1.7619227504473218
DEU,2006,1.7006642248890973
DEU,2007,1.6219463678180874
DEU,2008,1.7692524251875248
DEU,2009,1.1054117313601277
DEU,2010,1.1121018335815347
DEU,2011,1.1446591736770886
DEU,2012,0.9702526146665267
DEU,2013,0.7864145860130209
DEU,2014,1.220856323683098
DEU,2015,1.2584172890649112
DEU,2016,0.8099917764611255
DJI,1985,1.0548532753103033
DJI,1987,0.5090123792945966
DJI,1988,1.8250319008405373
DJI,1989,1.3608863290847708
DJI,1990,1.192432530548068
DJI,1991,-0.3327812038691312
DJI,1992,0.37374090916218344
DJI,1993,0.28381595697933115
DJI,1994,-0.9388439700565396
DJI,1995,-0.0019503761223625404
DJI,1996,-0.5447303821105126
DJI,1997,-0.46279742640039895
DJI,1998,-0.4752934039517358
DJI,1999,-0.5988212208780985
DJI,2000,-0.5548582329658316
DJI,2001,0.16355910564936887
DJI,2002,-0.22274542064636577
DJI,2003,-0.8376990619243703
DJI,2004,-0.5078982876372322
DJI,2005,-0.1886803872459329
DJI,2006,-0.40772689379751226
DJI,2007,-0.7763767210172178
DJI,2008,-0.46985779451094367
DJI,2009,-0.6627013823733937
DJI,2010,-0.7553174341341257
DJI,2011,-0.716297860902458
DJI,2012,-0.3789785256277374
DJI,2013,-0.704614321653666
DJI,2014,-0.7533006864732865
DJI,2015,-0.4733535162776252
DJI,2016,-0.554016527914984
DMA,1977,-0.36895986004061715
DMA,1978,0.3335971099084479
