,map,gdp_pc
460,ARG2007,7193.61763973522
461,ARG2008,8953.35927526277
462,ARG2009,8161.30696648652
463,ARG2010,10276.2604977053
464,ARG2011,12726.9083594731
465,ARG2012,12969.7071238969
466,ARG2013,12976.6364245411
467,ARG2014,12245.2564487696
468,ARG2015,13698.2934384857
469,ARG2016,12654.354998995801
470,ARG2017,14398.358770905501
471,ARG2018,
472,ARM1960,
473,ARM1961,
474,ARM1962,
475,ARM1963,
476,ARM1964,
477,ARM1965,
478,ARM1966,
479,ARM1967,
480,ARM1968,
481,ARM1969,
482,ARM1970,
483,ARM1971,
484,ARM1972,
485,ARM1973,
486,ARM1974,
487,ARM1975,
488,ARM1976,
489,ARM1977,
490,ARM1978,
491,ARM1979,
492,ARM1980,
493,ARM1981,
494,ARM1982,
495,ARM1983,
496,ARM1984,
497,ARM1985,
498,ARM1986,
499,ARM1987,
500,ARM1988,
501,ARM1989,
502,ARM1990,637.8557411616299
503,ARM1991,590.122225741606
504,ARM1992,369.633368128684
505,ARM1993,357.20433987136704
506,ARM1994,400.51609188614304
507,ARM1995,456.375899754645
508,ARM1996,504.05951404149397
509,ARM1997,523.283569096003
510,ARM1998,609.1730253910071
511,ARM1999,597.433481734807
512,ARM2000,622.7427476879831
513,ARM2001,694.430511932268
514,ARM2002,783.261609869997
515,ARM2003,930.166156701539
516,ARM2004,1191.9619199070598
517,ARM2005,1643.7585429814499
518,ARM2006,2158.00290895457
519,ARM2007,3138.8087034124796
520,ARM2008,4010.02699722693
521,ARM2009,2993.83253109033
522,ARM2010,3218.3816548846503
523,ARM2011,3526.97814267659
524,ARM2012,3684.80481032649
525,ARM2013,3843.5912130934003
526,ARM2014,3994.7123547956603
527,ARM2015,3617.93574555176
528,ARM2016,3605.7431168425605
529,ARM2017,3936.7983196528703
530,ARM2018,
531,ASM1960,
532,ASM1961,
533,ASM1962,
534,ASM1963,
535,ASM1964,
536,ASM1965,
537,ASM1966,
538,ASM1967,
539,ASM1968,
540,ASM1969,
541,ASM1970,
542,ASM1971,
543,ASM1972,
544,ASM1973,
545,ASM1974,
546,ASM1975,
547,ASM1976,
548,ASM1977,
549,ASM1978,
550,ASM1979,
551,ASM1980,
552,ASM1981,
553,ASM1982,
554,ASM1983,
555,ASM1984,
556,ASM1985,
557,ASM1986,
558,ASM1987,
559,ASM1988,
560,ASM1989,
561,ASM1990,
562,ASM1991,
563,ASM1992,
564,ASM1993,
565,ASM1994,
566,ASM1995,
567,ASM1996,
568,ASM1997,
569,ASM1998,
570,ASM1999,
571,ASM2000,
572,ASM2001,
573,ASM2002,8751.76652874972
574,ASM2003,8914.52543261668
575,ASM2004,8639.30885529158
576,ASM2005,8508.40691498359
577,ASM2006,8456.94799658994
578,ASM2007,8980.53641434813
579,ASM2008,9871.997194459058
580,ASM2009,12058.26382343
581,ASM2010,10352.8227618312
582,ASM2011,10375.9942154736
583,ASM2012,11660.329531051999
584,ASM2013,11589.8530023324
585,ASM2014,11598.7517362051
586,ASM2015,11901.975259736799
587,ASM2016,11744.815554236598
588,ASM2017,11394.475296993201
589,ASM2018,
590,ATG1960,
591,ATG1961,
592,ATG1962,
593,ATG1963,
594,ATG1964,
595,ATG1965,
596,ATG1966,
597,ATG1967,
598,ATG1968,
599,ATG1969,
600,ATG1970,
601,ATG1971,
602,ATG1972,
603,ATG1973,
604,ATG1974,
605,ATG1975,
606,ATG1976,
607,ATG1977,1063.42029095991
608,ATG1978,1198.50719384487
609,ATG1979,1483.5161963998598
610,ATG1980,1789.58942657698
611,ATG1981,2023.3998637457198
612,ATG1982,2268.78973731351
613,ATG1983,2542.52701688972
614,ATG1984,2946.24031525339
615,ATG1985,3452.5224959848497
616,ATG1986,4220.96151289425
617,ATG1987,4969.78203039062
618,ATG1988,5944.67069965966
619,ATG1989,6585.84040281745
620,ATG1990,6889.00472125598
621,ATG1991,7156.8535549381495
622,ATG1992,7296.55171312602
623,ATG1993,7652.10282546552
624,ATG1994,8218.59771649953
625,ATG1995,7841.46384312021
626,ATG1996,8379.57696933724
627,ATG1997,8755.156647147409
628,ATG1998,9115.234346191999
629,ATG1999,9363.18644523469
630,ATG2000,9932.02968138506
631,ATG2001,9414.16059122009
632,ATG2002,9443.063590565269
633,ATG2003,9801.96693468697
634,ATG2004,10419.3111321775
635,ATG2005,11452.7387771176
636,ATG2006,12812.7644376195
637,ATG2007,14350.918887831001
638,ATG2008,14797.3684912448
639,ATG2009,13082.2818061754
640,ATG2010,12174.697800768201
641,ATG2011,11931.2039987417
642,ATG2012,12517.557936745801
643,ATG2013,12194.5495917082
644,ATG2014,12900.9030032308
645,ATG2015,13602.4212384277
646,ATG2016,14506.6035412313
647,ATG2017,14803.0109275452
648,ATG2018,
649,AUS1960,1807.34978407022
650,AUS1961,1874.30476770293
