,eci1,eci2,eci3,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,map,code,year,population,oil_prod_pc,gdp_pc
69,0.7206840683064148,0.9167892571098089,0.9082015031160576,,,,,,ANS1975,ANS,1975,,,
70,1.1613965238071473,1.2673883702843554,1.1041258728008416,,,,,,ANS1980,ANS,1980,,,
71,1.1539523002632228,1.3542747129662742,1.2645047083266117,,,,,,ANS1985,ANS,1985,,,
72,0.8241207750251629,0.8997740557198852,0.8300513243898828,,,,,,ANS1990,ANS,1990,,,
73,1.2508391299863502,1.3567821950912051,1.0820014420880544,,,,,,ANS1995,ANS,1995,,,
74,0.5742691330096691,0.7297082207045413,0.6063349997550551,,,,,,ANS2000,ANS,2000,,,
75,0.7532101418522823,0.877659929081856,0.7313949449255083,,,,,,ANS2005,ANS,2005,,,
76,0.015860809697194826,0.8659943453261153,0.5460775049072344,,,,,,ANS2010,ANS,2010,,,
77,2.7796010224894463,2.255044429610748,1.828991475333376,,,,,,ANS2015,ANS,2015,,,
78,0.8711214721408723,0.9942766618040396,1.1227775447244213,,,,,,ANT1965,ANT,1965,,,
79,1.0204913617956808,1.1893506138185448,1.0388648845120279,,,,,,ANT1970,ANT,1970,,,
80,0.5951505966906182,0.8127324887239575,0.8133263080013334,,,,,,ANT1975,ANT,1975,,,
81,0.6516669718591006,0.7609044017100856,0.8476537986515573,,,,,,ANT1980,ANT,1980,,,
82,0.7128269707013796,0.9897603767531601,1.0600052234073634,,,,,,ANT1985,ANT,1985,,,
83,0.31173896601066586,0.3783356236244168,0.4836225289037202,,,,,,ANT1990,ANT,1990,,,
84,0.3726962692992467,0.2538768661072489,0.3756912149362466,,,,,,ANT1995,ANT,1995,,,
85,-0.1704729835236129,-0.2987369084700172,-0.13091729479497285,,,,,,ANT2000,ANT,2000,,,
86,-0.34991113535826435,-0.4510578055906919,-0.28131632325931666,,,,,,ANT2005,ANT,2005,,,
87,-0.7415308857022702,-0.9146702382644708,-0.9386399445819856,,,,,,ANT2010,ANT,2010,,,
88,,,,,,,,,ARB1960,ARB,1960,18.39816659383862,,
89,,,,,,,,,ARB1965,ARB,1965,18.538480170585526,,5.433051016039471
90,,,,,,,22.772929326520018,23.232734433704515,ARB1970,ARB,1970,18.67847356759615,,6.0296003124766715
91,,,,,,,41.62331325392288,42.22063792251928,ARB1975,ARB,1975,18.82865595511434,,7.033521561601916
92,,,,,,,33.02604937422276,33.45151356110053,ARB1980,ARB,1980,18.989225812084577,,7.523977854714423
93,,,,,,,18.551849946819214,19.072148327928343,ARB1985,ARB,1985,19.138499844205658,,7.318046987288864
94,,,,,,,20.59932300948692,21.057775096353737,ARB1990,ARB,1990,19.27876975331754,,7.586059349055949
95,,,,,,,17.714101886906523,18.325251314642014,ARB1995,ARB,1995,19.400994531384534,,7.701961796685159
96,,,,,,,23.471440902833614,24.459917469673567,ARB2000,ARB,2000,19.5067517153658,,7.892908011515346
97,,,,,,,32.12992817829008,33.941465671002895,ARB2005,ARB,2005,19.6204421122175,,8.488841152306636
98,,,,,,,30.072164759280163,32.3038928208124,ARB2010,ARB,2010,19.73786984852034,,8.859557018855206
99,,,,,,,14.826981471183464,16.218328847757235,ARB2015,ARB,2015,19.822889083324434,,8.745532323097047
100,-1.4580315251043874,-1.351204027569589,,,,,,,ARE1960,ARE,1960,11.644443081307674,,
101,0.6677743116573249,0.5808483680211615,0.6341466288818254,,,,,,ARE1965,ARE,1965,12.064670358525081,,
102,0.2523618383441452,0.6125127798144222,0.8891404565263002,,,,,,ARE1970,ARE,1970,12.745838433618784,,
103,1.1482566833092642,1.182655294205839,1.177606560952555,0.3870630613094453,0.389614703062124,0.3908158820604785,42.282422211540336,42.495661076009654,ARE1975,ARE,1975,13.52881093608318,,10.310257746503
104,1.1800072960463712,1.4163004610029053,1.4797237890262191,0.34791807139842057,0.3554660711395501,0.35621291929555443,29.24031369369634,29.51813168681598,ARE1980,ARE,1980,13.985146491401018,1232.45071272682,10.550068989285503
105,1.14046083174355,1.241130805275951,1.2585178977893126,0.2694435602300377,0.2795500198329552,0.2813941492748185,22.51091069764194,23.021211102900004,ARE1985,ARE,1985,14.264785831559527,1048.2014211564658,10.094756833920577
106,0.45172084859502504,0.5499718644135543,0.5279085186184751,0.28795690746160785,0.299669267605439,0.3036489329591913,24.313527935701426,24.74346030366386,ARE1990,ARE,1990,14.552954967416209,1140.147690483613,10.166502815595845
107,0.574771751576324,0.8167797079837182,0.9126210783152766,0.2314984764286453,0.2472059255346961,0.25435648358622504,15.97726119512094,16.566377054674962,ARE1995,ARE,1995,14.812175536393031,902.9960087793253,10.236994687057727
108,0.6297961226657461,0.8524478573001476,1.0616133353437691,0.2420573566340312,0.2643172584923879,0.2719154425392701,17.87483296232788,18.68495685451908,ARE2000,ARE,2000,15.086284746221494,727.0867745502624,10.403267503908776
109,0.39830400391673343,0.7022137759699124,0.8798298489267523,0.28553304746975433,0.3207431116640585,0.3272566695081576,23.62365351052681,24.7622554594947,ARE2005,ARE,2005,15.621381063231818,495.54893211606264,10.613079363733988
110,0.05398876059627182,0.4007378110416079,0.5374038906889453,0.31367692383616724,0.3800642784096067,0.39060608239504535,25.559487892094346,26.795571748028248,ARE2010,ARE,2010,15.98845933694211,373.2931766786298,10.62287323303067
111,0.01924529582661931,0.2208990246405648,0.3873957172207628,0.18308076684534094,0.24022033898097955,0.25089127900875274,12.3630350697524,13.028736444094735,ARE2015,ARE,2015,16.04279934737738,401.8968528319623,10.582693837365856
112,-0.518295451011746,-0.5008437022853994,-0.6994906453722103,0.0006487480089972046,0.001698520377886642,0.022744662343589142,,,ARG1960,ARG,1960,16.873612781128372,,6.959706961185784
113,-0.6340968154323366,-0.5596511682395992,-0.8133586065957041,0.0004697730811198308,0.0013428917524239252,0.021939240834524663,,,ARG1965,ARG,1965,16.948319484773076,,7.099484430760821
114,-0.5364915769526934,-0.5764417414029162,-0.8252408331661398,0.0002281521982566506,0.002222084788228625,0.02302465439057286,0.6558441795131694,0.8064839423341439,ARG1970,ARG,1970,17.02619565017799,,7.494869874694299
115,-0.6753158701751593,-0.7198874474962906,-0.8983097829240736,0.0006164042346692375,0.002828808326902993,0.028221793939883763,2.7865215545404203,3.067257157112698,ARG1975,ARG,1975,17.106781214684673,,7.667399269020518
116,-0.7889497758997157,-0.7635603753314337,-0.7178792142624738,0.00646963747768631,0.012193357172624677,0.045278633433896015,4.118828985299058,4.493138762745862,ARG1980,ARG,1980,17.18293659326677,17.457684817559972,7.977689625882324
117,-0.6583369072567624,-0.6941300085475273,-0.7616431775599862,0.0036117774400527282,0.012178141951143352,0.030356347856973293,1.956440328552564,2.38493578460228,ARG1985,ARG,1985,17.25996905626833,15.427612766529682,8.095354027723015
118,-0.2558137149503921,-0.359138981486075,-0.29960726914827035,0.005880283481312057,0.0101193103980361,0.02119564954103632,1.1983807150541064,1.43587037090045,ARG1990,ARG,1990,17.33151077593397,17.83925164887154,8.739444716406089
119,-0.3379621992756537,-0.4425293649359309,-0.3026103092026325,0.01023382334803431,0.01455425606738261,0.027746590452828,1.1042043783489772,1.335074745995722,ARG1995,ARG,1995,17.394229790683767,23.913951264739293,8.967371548350926
120,-0.26248228344546465,-0.2858905761907618,-0.06465670080834605,0.03089126182362228,0.04273548102961733,0.06548976793288483,3.257328534609948,3.998960503381469,ARG2000,ARG,2000,17.450231596094266,22.514586673191157,8.517240114772875
121,-0.31608748202661385,-0.3482062742767019,-0.2900982779601879,0.02335938692635353,0.034711785565613336,0.05752511887467774,3.865302118207628,5.0437751480957065,ARG2005,ARG,2005,17.503671744185578,19.934653316168447,8.861177959262285
122,-0.3049963999280182,-0.313370098485552,-0.23331549459626386,0.009411406713515164,0.017006849607918356,0.03660788102854008,2.447524941063968,3.5103330173783336,ARG2010,ARG,2010,17.5555532962648,17.577664597724095,9.412379076177492
123,-0.28471918827679216,-0.22350489562781792,-0.2834527725174143,0.003383890645561396,0.007240286724606865,0.02150823393729016,0.6768827383630139,1.2648207303763863,ARG2015,ARG,2015,17.596180641889955,15.92053831612254,9.516623546465677
124,,,,,,,,,ARM1960,ARM,1960,14.513417393374548,,
125,,,,,,,,,ARM1965,ARM,1965,14.664852271117852,,
126,,,,,,,,,ARM1970,ARM,1970,14.790053820469804,,
127,,,,,,,,,ARM1975,ARM,1975,14.89481980252374,,
128,,,,,,,,,ARM1980,ARM,1980,14.976516444064915,,
129,,,,,,,,,ARM1985,ARM,1985,15.052216906110212,,
130,0.020265156706223652,0.30484192379969016,0.2416348344222376,0.0007973534303271835,0.020379910464989808,0.02046716797880673,0.0,0.13537018945083198,ARM1990,ARM,1990,15.047078140010264,2.449993493849421e-05,6.154998961711691
131,-0.27003685342795264,-0.0036853229777139116,-0.12776169943913265,0.003455246122581166,0.051397680938932384,0.0551722516990914,0.0,0.41940796166811023,ARM1995,ARM,1995,14.960773835508089,0.0,6.287979552848549
132,-0.33918071292663265,0.0687949170534554,0.07807676149254647,0.00019270885075078965,0.10417834736047786,0.10907915229912843,0.0,0.5229355692389677,ARM2000,ARM,2000,14.925561046956293,0.0,6.738759643442567
133,-0.4463045668498907,-0.4187690888275976,-0.3463009573728025,8.907789036294972e-05,0.08241106429563883,0.08665186186454031,0.0,1.3876689988309616,ARM2005,ARM,2005,14.891851265977659,0.0,7.933397489241198
134,-0.6497612117548537,-0.824065750731225,-0.8686996280975349,0.000418315029177616,0.0682391651406233,0.07444406517987381,0.0,3.5946750463112336,ARM2010,ARM,2010,14.875696798982151,0.0,8.203493889732496
135,-0.5927353944836073,-0.5917578852022358,-0.5971083772720155,0.0009385834143554088,0.08511352910158597,0.10405555359041203,0.0,4.74696734247643,ARM2015,ARM,2015,14.888487723351655,0.0,8.22152170460104
136,,,,,,,,,ASM1960,ASM,1960,9.963603809863113,,
137,,,,,,,,,ASM1965,ASM,1965,10.130272466036603,,
138,,,,,,,,,ASM1970,ASM,1970,10.25556594851588,,
139,,,,,,,,,ASM1975,ASM,1975,10.333430616051118,,
140,,,,,,,,,ASM1980,ASM,1980,10.46044839063776,0.0,
141,,,,,,,,,ASM1985,ASM,1985,10.655695780225278,0.0,
142,,,,,,,,,ASM1990,ASM,1990,10.809845113409883,0.0,
143,,,,,,,,,ASM1995,ASM,1995,10.912937060695716,0.0,
144,0.6040977576921458,0.6171412938755075,0.6503565591455611,0.0008114035613857222,0.0045739030583629115,0.009048417473971023,0.0,0.0,ASM2000,ASM,2000,10.977834470666314,0.0,9.078924865633526
145,0.10538144471421114,0.8112975358828338,0.7273279184896271,0.00038381063588027264,0.04252801174982841,0.043198540269391815,0.0,0.0,ASM2005,ASM,2005,10.964494888673105,0.0,9.166934883603783
146,0.7574246731870897,0.8539098631593202,0.7494112959937074,0.010736797657991912,0.015473931266666472,0.01640320308779846,0.0,0.0,ASM2010,ASM,2010,10.922085744232522,0.0,9.316100330290265
147,-0.07061046249664105,0.10049956900701716,0.036601035014591575,4.0316187594553706e-05,0.005248494989956745,0.005669322112767096,0.0,0.0,ASM2015,ASM,2015,10.925800581042768,0.0,9.365669389033267
148,2.0263138085249914,2.0806286990319447,1.9966136261739549,,,,,,ATA2000,ATA,2000,,,
149,2.470691069465758,2.3286641037473594,2.435016813795394,,,,,,ATA2005,ATA,2005,,,
150,1.492132674071572,1.1542954911357928,0.9352215959208084,,,,,,ATA2010,ATA,2010,,,
151,1.2351998033608478,1.0922733053762883,0.9057176686944104,,,,,,ATA2015,ATA,2015,,,
152,1.257925347162812,1.4271655577427016,1.1474379174880407,,,,,,ATF1975,ATF,1975,,,
153,4.108001129978042,3.9832281530237927,3.3982050991775274,,,,,,ATF1980,ATF,1980,,,
154,1.5235941741250212,1.8354684472009983,2.541393238184422,,,,,,ATF1985,ATF,1985,,,
155,1.7710539877875786,1.7370842029512243,1.8412430701467255,,,,,,ATF1990,ATF,1990,,,
156,1.254075769845549,1.309070036439646,1.114284957186802,,,,,,ATF1995,ATF,1995,,,
157,2.252192859873268,2.210388236001792,2.301064849578851,,,,,,ATF2000,ATF,2000,,,
158,0.9450781092072276,0.7520879241325935,1.0136494489377759,,,,,,ATF2005,ATF,2005,,,
159,1.084859933544335,0.8532086739760973,0.9099396307197418,,,,,,ATF2010,ATF,2010,,,
160,1.3893568670011738,1.3579446095401055,1.0940320013336982,,,,,,ATF2015,ATF,2015,,,
161,,,,,,,,,ATG1960,ATG,1960,10.955863912197044,,
162,-1.1400540100272978,-1.0375813488585997,-1.0375483662327654,,,,,,ATG1965,ATG,1965,11.056477540586986,,
163,1.6911185263670792,1.49786053677728,1.3254169756439729,,,,,,ATG1970,ATG,1970,11.143037903273607,,
164,1.016130499073432,1.03190029296587,1.134411842398038,0.0038086486353904564,0.003852002035943051,0.004608164953732657,,0.0,ATG1975,ATG,1975,11.194429482959137,,7.129683073217684
165,1.0000885006742697,0.7162753883746655,0.4686947687179936,0.006860917584543796,0.0070761683597263345,0.00975632572549422,0.0,0.0,ATG1980,ATG,1980,11.18808135882968,0.0,7.746780128745808
166,-0.9327087169365236,-0.7362320308483317,-1.1436548496466847,0.003761233866688402,0.006432190506079248,0.008101665221061902,0.0,0.0,ATG1985,ATG,1985,11.12761880320008,0.0,8.524120229662936
