,t_exp,map,t_exp_cons
294,,EAS2018,
295,5818822646.549561,EAP1960,
296,5179721027.31464,EAP1961,
297,4986957577.43664,EAP1962,
298,5418920040.10001,EAP1963,
299,5922584084.69616,EAP1964,
300,6666448467.0485,EAP1965,
301,7214944490.24845,EAP1966,
302,7035983543.29666,EAP1967,
303,7359727230.68508,EAP1968,
304,7735388551.244591,EAP1969,
305,8285685691.43858,EAP1970,
306,9155739431.1273,EAP1971,
307,11217504752.906,EAP1972,
308,18286313016.7395,EAP1973,
309,27604135852.8473,EAP1974,
310,26487099074.6436,EAP1975,
311,29660894804.718998,EAP1976,
312,35302778160.6112,EAP1977,
313,38117831670.4256,EAP1978,
314,52043219581.2638,EAP1979,
315,67019890005.3708,EAP1980,
316,72179972783.0756,EAP1981,
317,76558887816.6909,EAP1982,
318,79388349264.2868,EAP1983,
319,87707743287.1177,EAP1984,
320,84166860430.3813,EAP1985,
321,81988310439.2944,EAP1986,
322,102065725043.379,EAP1987,
323,125427564199.679,EAP1988,
324,136049077826.93901,EAP1989,
325,158083113894.40698,EAP1990,
326,183349943322.80603,EAP1991,
327,215233254976.737,EAP1992,
328,243079853838.10602,EAP1993,
329,307702147056.123,EAP1994,
330,379811314513.65,EAP1995,
331,428443018676.317,EAP1996,
332,472529839228.044,EAP1997,
333,439557425179.09,EAP1998,
334,475235446302.796,EAP1999,
335,581393422857.638,EAP2000,
336,573969874358.251,EAP2001,
337,652983628185.413,EAP2002,
338,802614861341.318,EAP2003,
339,1031766230490.77,EAP2004,
340,1261675652363.92,EAP2005,
341,1561015640525.78,EAP2006,
342,1912451008884.57,EAP2007,
343,2246937063456.46,EAP2008,
344,1889234187729.29,EAP2009,
345,2415429406715.51,EAP2010,2415429406715.51
346,2973990001272.21,EAP2011,
347,3176042931286.99,EAP2012,
348,3375559699817.01,EAP2013,
349,3504802249043.85,EAP2014,
350,3338188841071.65,EAP2015,
351,3187489396700.71,EAP2016,
352,3539492404213.6,EAP2017,
353,,EAP2018,
354,5808329009.23456,TEA1960,
355,5170379942.84531,TEA1961,
356,4977964121.6636,TEA1962,
357,5409147585.25926,TEA1963,
358,5911903324.49303,TEA1964,
359,6654426225.326839,TEA1965,
360,7201933093.385659,TEA1966,
361,7023294883.76149,TEA1967,
362,7346454733.31108,TEA1968,
363,7721438588.016991,TEA1969,
364,8270743324.94395,TEA1970,
365,9139228013.82233,TEA1971,
366,11197275157.7445,TEA1972,
367,18253335566.0967,TEA1973,
368,27554354684.4514,TEA1974,
369,26439332365.1048,TEA1975,
370,29607404486.9305,TEA1976,
371,35239113296.9899,TEA1977,
372,38049090152.5825,TEA1978,
373,51949365084.5446,TEA1979,
374,66899026651.8496,TEA1980,
375,72049803760.6118,TEA1981,
376,76420821879.5096,TEA1982,
377,79245180689.6767,TEA1983,
378,87549571556.5672,TEA1984,
379,84015074311.2732,TEA1985,
380,81840453106.9646,TEA1986,
381,101881660196.252,TEA1987,
382,125201368722.009,TEA1988,
383,135803727561.69301,TEA1989,
384,157798027552.445,TEA1990,
385,183019290899.82898,TEA1991,
386,214845104339.909,TEA1992,
387,242641484776.23602,TEA1993,
388,307147238455.469,TEA1994,
389,379126364580.52203,TEA1995,
390,427670366557.285,TEA1996,
391,471677681144.775,TEA1997,
392,438764729391.794,TEA1998,
393,474378408940.489,TEA1999,
394,580344940701.13,TEA2000,
395,572941909211.085,TEA2001,
396,651807792968.792,TEA2002,
397,801264254378.942,TEA2003,
398,1030216755533.52,TEA2004,
399,1259846964447.48,TEA2005,
400,1558856703127.63,TEA2006,
401,1909888946884.04,TEA2007,
402,2243871851691.19,TEA2008,
403,1886668943870.13,TEA2009,
404,2412448462703.42,TEA2010,2412448462703.42
405,2970429599754.7,TEA2011,
406,3172127807870.37,TEA2012,
407,3371448919736.04,TEA2013,
408,3500595631017.29,TEA2014,
409,3334185307834.07,TEA2015,
410,3183645971249.96,TEA2016,
411,3535303507430.62,TEA2017,
412,,TEA2018,
413,42274986157.2921,EMU1960,268545828998.162
414,45617354124.8056,EMU1961,288038799832.68896
415,49114570277.3546,EMU1962,308788267762.337
416,53793569253.07,EMU1963,328290978766.419
417,61374226753.3338,EMU1964,364006132443.59204
418,68629574899.4764,EMU1965,402498630579.62103
419,75626406591.0303,EMU1966,437045793640.30896
420,80596797543.1047,EMU1967,460875317222.015
421,89728291330.3452,EMU1968,513837647241.274
422,104997035520.45699,EMU1969,586451357532.165
423,121271366000.612,EMU1970,639330643579.552
424,137542309732.815,EMU1971,682091611682.145
425,168844562919.616,EMU1972,746381033642.357
426,228735945082.351,EMU1973,825153750264.54
427,298605767144.037,EMU1974,884260208141.073
428,323302501054.19,EMU1975,850281842054.2571
429,353272265854.824,EMU1976,935361204643.386
430,408066070384.68,EMU1977,987910093009.2759
431,495279709607.012,EMU1978,1047673572213.0
432,619598210172.931,EMU1979,1124502140857.2
433,703760249213.4109,EMU1980,1140174664646.46
434,652094396935.111,EMU1981,1204041765883.22
435,629487327714.344,EMU1982,1214181881219.43
436,617452423737.006,EMU1983,1249426439799.76
437,630315176435.178,EMU1984,1354378913518.56
438,654044590198.703,EMU1985,1411398597714.51
439,822324697850.038,EMU1986,1419371859231.47
440,988320932963.4979,EMU1987,1467530071420.4
441,1105384867150.55,EMU1988,1567572018008.93
442,1180868924711.82,EMU1989,1704325642648.52
443,1465366408835.69,EMU1990,1821068174190.34
444,1516250648746.05,EMU1991,1918397075072.38
445,1650067959966.7,EMU1992,1989388533055.56
446,1519221686996.06,EMU1993,2011012079470.43
447,1697521779973.18,EMU1994,2195519289153.9
448,2082394333377.54,EMU1995,2387313338269.01
449,2137015821717.91,EMU1996,2505680291591.64
450,2113678292466.64,EMU1997,2781040919894.09
451,2216750240160.0,EMU1998,2978871890166.15
452,2232504001022.35,EMU1999,3148124430238.58
453,2276685014885.25,EMU2000,3560607259666.69
454,2317306189643.85,EMU2001,3698442770220.81
455,2477013886277.11,EMU2002,3776761077493.65
456,2967849944426.36,EMU2003,3812502784309.9
457,3561440671949.69,EMU2004,4121292746291.71
458,3837257228870.45,EMU2005,4332186774636.06
459,4302860153590.89,EMU2006,4702207115285.52
460,5106973709633.81,EMU2007,5037702278485.19
461,5653190051583.18,EMU2008,5082462204776.54
462,4531002243677.56,EMU2009,4453846482774.42
463,4945709931602.08,EMU2010,4945709931602.08
464,5724142691698.81,EMU2011,5270457507855.45
465,5528022192899.05,EMU2012,5396774446485.53
466,5807448356062.29,EMU2013,5513240898799.18
467,6036494002846.73,EMU2014,5774294339725.29
468,5395580304133.2,EMU2015,6152950697177.5
469,5465579452986.09,EMU2016,6336507227699.93
470,5964957329319.42,EMU2017,6664052555510.81
471,,EMU2018,
472,,ECS1960,
473,,ECS1961,
474,,ECS1962,
475,,ECS1963,
476,,ECS1964,
477,,ECS1965,
478,,ECS1966,
479,,ECS1967,
480,,ECS1968,
481,,ECS1969,
482,204035520072.20102,ECS1970,1232628114624.62
483,230863969014.693,ECS1971,1309095658341.85
484,276987443006.128,ECS1972,1412014340827.92
485,371400235574.351,ECS1973,1560682553090.36
486,479954962944.094,ECS1974,1659045192377.49
487,522835753609.37,ECS1975,1596655927907.98
488,568955043443.056,ECS1976,1748823303698.03
489,655852388901.162,ECS1977,1849831430200.33
490,796800363739.09,ECS1978,1949221161894.3
491,993122670590.285,ECS1979,2073132981733.18
492,1146219950037.07,ECS1980,2106021747559.96
493,1072203977411.89,ECS1981,2218296415423.39
494,1030479637249.64,ECS1982,2234958887477.89
495,1008124121455.14,ECS1983,2300541736992.62
496,1032420312110.5,ECS1984,2496672135786.54
497,1076695446372.03,ECS1985,2623173782572.82
498,1316465415809.98,ECS1986,2655993667319.05
499,1584077795961.56,ECS1987,2749638134557.68
500,1765998869445.77,ECS1988,2896365711152.64
501,1873368832874.74,ECS1989,3095339747961.21
502,2240789810209.3,ECS1990,3217554804859.76
503,2255459045020.71,ECS1991,3193772522185.08
504,2652072700356.57,ECS1992,3182381892253.91
505,2358862548514.85,ECS1993,3227754949217.19
506,2552723596074.53,ECS1994,3510165006662.09
507,3084886946050.94,ECS1995,3807421065117.68
508,3177319696440.07,ECS1996,4029228232996.14
509,3190380771301.96,ECS1997,4432930585189.39
510,3292300549704.58,ECS1998,4692418760570.9
511,3307625923615.24,ECS1999,4925467611653.08
512,3452288177613.73,ECS2000,5549415873861.26
513,3492266341567.74,ECS2001,5749546957014.34
514,3728054203710.34,ECS2002,5903251403612.48
515,4453830834574.31,ECS2003,6042903131353.14
516,5394890262460.05,ECS2004,6554542322971.79
517,5955006551391.69,ECS2005,6929922579280.08
518,6784190292085.36,ECS2006,7531796397326.78
519,7992946877059.35,ECS2007,8021654965845.2
520,9017488205811.11,ECS2008,8138521649845.58
521,7124937259027.68,ECS2009,7250433342226.9
522,7966937349685.94,ECS2010,7966937349685.94
523,9381226605753.08,ECS2011,8466061460687.55
524,9178863553341.23,ECS2012,8666677412268.37
525,9577284154770.76,ECS2013,8908323289451.17
526,9800062626149.68,ECS2014,9242572411787.14
527,8608854839627.36,ECS2015,9765859706269.11
528,8575930456218.75,ECS2016,10075819231131.2
529,9389160725947.27,ECS2017,10594951329970.6
530,,ECS2018,
531,,ECA1960,
532,,ECA1961,
533,,ECA1962,
534,,ECA1963,
535,,ECA1964,
536,,ECA1965,
537,,ECA1966,
538,,ECA1967,
539,,ECA1968,
540,,ECA1969,
541,,ECA1970,
542,,ECA1971,
543,,ECA1972,
544,,ECA1973,
545,,ECA1974,
546,,ECA1975,
547,,ECA1976,
548,,ECA1977,
549,,ECA1978,
550,,ECA1979,
551,,ECA1980,
552,,ECA1981,
553,,ECA1982,
554,,ECA1983,
555,,ECA1984,
556,,ECA1985,
557,,ECA1986,
558,,ECA1987,
559,,ECA1988,
560,214891081443.86603,ECA1989,
561,186595674822.27103,ECA1990,582688463698.6329
562,147515123833.184,ECA1991,452182494859.40796
