,t_exp,map,t_exp_cons
8441,8097991291.27695,ITA1964,51221974823.8367
8442,9713521917.712059,ITA1965,61457004782.6102
8443,10826008275.8316,ITA1966,68330637036.7903
8444,11734429394.0077,ITA1967,73227724465.8756
8445,13403095880.0386,ITA1968,83384215770.9091
8446,15382275392.5625,ITA1969,93186694818.0546
8447,17191497211.8959,ITA1970,98613897892.8004
8448,19420358614.2322,ITA1971,105952968745.995
8449,23692563081.0093,ITA1972,114925079852.952
8450,28258448688.1435,ITA1973,121808751065.245
8451,36960389103.9,ITA1974,130512125059.975
8452,42644520462.6335,ITA1975,132707022324.87599
8453,45035414747.6157,ITA1976,148572248585.155
8454,55062863506.693,ITA1977,164382179991.942
8455,68287841204.6543,ITA1978,182230282630.712
8456,88108908179.9115,ITA1979,196438437220.353
8457,96321351797.4226,ITA1980,180017137180.767
8458,93295677227.0482,ITA1981,192327195112.42398
8459,90222837795.2756,ITA1982,189814578883.41602
8460,90066434599.694,ITA1983,197027768489.74
8461,91959275622.6581,ITA1984,212203316210.18103
8462,95456825778.3186,ITA1985,219789032510.788
8463,119754760878.036,ITA1986,223489914812.743
8464,144872520914.25198,ITA1987,232684277587.707
8465,156697347515.62,ITA1988,244757066467.333
8466,171924606265.876,ITA1989,265627504920.661
8467,215643921299.28897,ITA1990,282085345698.553
8468,212266128609.33398,ITA1991,276592604386.833
8469,230710027179.89,ITA1992,296747080037.45
8470,217200835609.696,ITA1993,323371589143.857
8471,240365297790.58603,ITA1994,354502586759.36896
8472,289763699037.204,ITA1995,399109085102.6
8473,311039904630.443,ITA1996,405718228024.289
8474,299853797180.537,ITA1997,426191181269.34
8475,305467826474.852,ITA1998,437828634081.71
8476,290297038141.914,ITA1999,433628751688.426
8477,292950340888.152,ITA2000,485341699238.23706
8478,299084742729.307,ITA2001,498321853564.37604
8479,309942781855.825,ITA2002,484402020086.51294
8480,366681715575.62103,ITA2003,478106368433.62396
8481,432726719642.414,ITA2004,507565541614.48
8482,456711976122.373,ITA2005,524704123848.42206
8483,509513360933.383,ITA2006,567872282133.703
8484,604235833561.456,ITA2007,602940922656.6539
8485,644649187051.414,ITA2008,584300310646.855
8486,491149624895.80396,ITA2009,478830431283.868
8487,535264157365.615,ITA2010,535264157365.615
8488,614743407768.688,ITA2011,563022504659.727
8489,592544766091.8989,ITA2012,576107023633.02
8490,614914896030.459,ITA2013,580144399145.519
8491,630597873811.01,ITA2014,595916042898.1421
8492,548123426955.55,ITA2015,621851584813.087
8493,553769853097.445,ITA2016,635164302120.195
8494,606181500207.467,ITA2017,671654712296.954
8495,,ITA2018,
8496,232379252.414952,JAM1960,
8497,249069438.611228,JAM1961,
8498,256772644.54710898,JAM1962,
8499,282449951.00097996,JAM1963,
8500,300424051.51897,JAM1964,
8501,323533529.329413,JAM1965,
8502,410751784.964301,JAM1966,
8503,413835956.917978,JAM1967,
8504,399255970.238809,JAM1968,
8505,437897515.90063596,JAM1969,
8506,466818672.74691,JAM1970,
8507,520773294.908742,JAM1971,
8508,614592833.876222,JAM1972,
8509,601285460.992908,JAM1973,
8510,847321526.784732,JAM1974,
8511,1008689913.1008699,JAM1975,
8512,861511384.886151,JAM1976,
8513,967330326.696733,JAM1977,
8514,1072383782.6363801,JAM1978,
8515,1207842248.41342,JAM1979,
8516,1368305770.74211,JAM1980,
8517,1405804423.48715,JAM1981,
8518,1252890928.4832199,JAM1982,
8519,1291947003.4158,JAM1983,
8520,1319189408.54215,JAM1984,
8521,1173209045.4431,JAM1985,
8522,1345412391.8361402,JAM1986,
8523,1531795068.07371,JAM1987,
8524,1670334930.58339,JAM1988,
8525,1921108571.52804,JAM1989,
8526,2207168708.24053,JAM1990,
8527,2044050810.1473,JAM1991,
8528,2198847359.72162,JAM1992,
8529,2382795698.9247303,JAM1993,
8530,3010844097.32652,JAM1994,
8531,3352842998.58557,JAM1995,
8532,3334013422.81879,JAM1996,
8533,3399380456.20952,JAM1997,
8534,3367967257.84447,JAM1998,
8535,3455357142.85714,JAM1999,
8536,3485422469.8235803,JAM2000,
8537,3264084201.38889,JAM2001,
8538,3175999175.93737,JAM2002,
8539,3441463835.66373,JAM2003,
8540,3811085751.54874,JAM2004,
8541,3952160000.0,JAM2005,
8542,4776418816.388471,JAM2006,
8543,5096320973.34878,JAM2007,5281491040.4361
8544,5738046907.1458,JAM2008,5434614502.43265
8545,4160817852.2881703,JAM2009,4469686014.29181
8546,4136344898.66025,JAM2010,4136344898.66025
8547,4377137546.4684,JAM2011,4073645486.76342
8548,4466801801.8018,JAM2012,3944599079.27549
8549,4340132817.92051,JAM2013,4132201964.09393
8550,4329883198.56244,JAM2014,4171995150.8161
8551,4229733185.5766797,JAM2015,4357256376.96663
8552,4402956688.50887,JAM2016,4397574935.8258295
8553,5035423808.03989,JAM2017,4511910923.47683
8554,,JAM2018,
8555,4751050160.35556,JPN1960,18603235615.3436
8556,4964487441.06667,JPN1961,21578910374.7304
8557,5726760686.93333,JPN1962,25030558263.5629
8558,6281142818.133329,JPN1963,29034313415.532997
8559,7761341098.66667,JPN1964,33678487975.9772
8560,9565853013.33333,JPN1965,39065520031.9368
8561,11173559591.8222,JPN1966,45314233122.7647
8562,11949693701.6889,JPN1967,52562457170.0463
8563,14824161644.0889,JPN1968,60970068637.5511
8564,18178168877.5111,JPN1969,70722516979.0215
8565,22026785840.8333,JPN1970,80135122076.6719
8566,26966713727.4483,JPN1971,92953110572.3265
8567,32270972031.1044,JPN1972,96782853635.8704
8568,41576284284.9345,JPN1973,101852724399.52802
8569,62536307378.2236,JPN1974,125422298404.959
8570,63986133888.3882,JPN1975,124226486507.3
8571,76182443148.1778,JPN1976,144849774415.833
8572,90568192249.8231,JPN1977,161842740371.868
8573,108052061240.714,JPN1978,161433891354.93802
8574,116997148837.27301,JPN1979,168382895099.816
8575,145104895104.895,JPN1980,196978738837.347
8576,172133957389.231,JPN1981,223391399581.054
8577,157932877703.936,JPN1982,226713820162.08102
8578,165328697491.534,JPN1983,237976243053.433
8579,189757601911.398,JPN1984,274513543359.45398
8580,194350282012.17603,JPN1985,289014451995.973
8581,226862362760.934,JPN1986,274604472764.401
8582,251695445510.328,JPN1987,274881924027.575
8583,294098322534.933,JPN1988,293578408689.919
8584,308906500517.525,JPN1989,321708236281.95
8585,320166445085.208,JPN1990,345594691621.513
8586,350773940717.128,JPN1991,364354127411.323
8587,378844907237.431,JPN1992,381123608136.831
8588,404340733359.83295,JPN1993,384250180767.516
8589,441812660090.521,JPN1994,401329754080.875
8590,488883643987.42896,JPN1995,418277596331.733
8591,458190957638.002,JPN1996,438392812871.971
8592,465703619032.50604,JPN1997,486845362568.584
8593,424400692714.50397,JPN1998,474925450130.796
8594,454007135658.275,JPN1999,484173436963.769
8595,519273793561.019,JPN2000,545859712430.66797
8596,440213809225.625,JPN2001,509244306097.497
8597,453412607267.04297,JPN2002,548785774064.955
8598,517443189414.62103,JPN2003,601007231040.144
8599,624622665052.268,JPN2004,686794461982.317
8600,666349114756.0021,JPN2005,736031569240.672
8601,719102350573.047,JPN2006,811948296651.14
8602,789869515555.8009,JPN2007,882361463511.995
8603,877807071435.1371,JPN2008,896108124389.56
8604,655016933828.2211,JPN2009,686178939852.671
8605,857109901329.889,JPN2010,857109901329.889
8606,919000611151.979,JPN2011,855001038582.021
8607,902241999043.109,JPN2012,854244459298.9
8608,820552895623.522,JPN2013,860747077545.9641
8609,850777160708.391,JPN2014,940713660780.4459
8610,773029478086.501,JPN2015,968383012537.896
8611,797780921021.838,JPN2016,981345115852.58
8612,860151727334.352,JPN2017,1047274763570.81
8613,,JPN2018,
8614,,JOR1960,
8615,,JOR1961,
8616,,JOR1962,
8617,,JOR1963,
8618,,JOR1964,
8619,,JOR1965,
8620,,JOR1966,
8621,,JOR1967,
8622,,JOR1968,
8623,,JOR1969,
8624,,JOR1970,
8625,,JOR1971,
8626,,JOR1972,
8627,,JOR1973,
8628,,JOR1974,
8629,,JOR1975,
8630,553313253.012048,JOR1976,1883763357.3152602
8631,694503492.2563009,JOR1977,2195320075.2340603
8632,870746073.298429,JOR1978,2424713158.42145
8633,1136197136.19714,JOR1979,2728731831.56765
8634,1579389056.73045,JOR1980,3230436343.2943697
8635,1913438256.6586,JOR1981,3869791509.50834
8636,1901276595.7446802,JOR1982,3780874823.56607
8637,1761498209.8595397,JOR1983,3597087437.89786
8638,1940962288.6866102,JOR1984,3977660391.85605
8639,1980486568.6771398,JOR1985,4145561825.0722704
8640,1811714285.71429,JOR1986,3575542977.9974203
8641,2233973412.1122603,JOR1987,4393189989.78629
8642,2727224151.74993,JOR1988,5332707032.60119
8643,2365993734.77202,JOR1989,5206859076.69051
8644,2489227060.41886,JOR1990,5527951579.24014
8645,2493170803.3485103,JOR1991,5248434184.82965
8646,2667843630.47955,JOR1992,5523588910.95865
8647,2821789147.06307,JOR1993,5866546834.25004
8648,2984831258.05067,JOR1994,6101771339.97905
8649,3479594748.85845,JOR1995,6602831296.79838
8650,3663187588.15233,JOR1996,6666905262.526529
8651,3568401833.56841,JOR1997,6482367115.218579
8652,3544310014.10437,JOR1998,6571469589.797339
8653,3529798448.5190396,JOR1999,6630536917.49767
8654,3538928067.7009897,JOR2000,6786838117.86402
8655,3781805359.6615,JOR2001,7127381666.622591
8656,4552186177.71509,JOR2002,8444857748.94147
8657,4829901269.39351,JOR2003,8857388396.44013
8658,5998589562.764461,JOR2004,10219105580.6867
8659,6713822284.90832,JOR2005,10561808666.3365
8660,8201269393.511991,JOR2006,11871603339.4231
8661,9387588152.32722,JOR2007,12159544419.8703
8662,12699309567.4229,JOR2008,10842171618.4784
8663,11061126760.5634,JOR2009,10310077059.6905
8664,12751830985.9155,JOR2010,12751830985.9155
8665,13743802816.9014,JOR2011,12603930942.885
8666,14307464788.7324,JOR2012,12282801867.7691
8667,14227605633.8028,JOR2013,12602260600.6397
8668,15524929577.4648,JOR2014,13545951012.1333
8669,14101971830.9859,JOR2015,12333437024.5974
8670,13584225352.1127,JOR2016,11993537445.5852
8671,14297550422.5352,JOR2017,12408123178.726002
8672,,JOR2018,
8673,,KAZ1960,
8674,,KAZ1961,
8675,,KAZ1962,
8676,,KAZ1963,
8677,,KAZ1964,
8678,,KAZ1965,
8679,,KAZ1966,
8680,,KAZ1967,
8681,,KAZ1968,
8682,,KAZ1969,
8683,,KAZ1970,
8684,,KAZ1971,
8685,,KAZ1972,
8686,,KAZ1973,
8687,,KAZ1974,
8688,,KAZ1975,
8689,,KAZ1976,
8690,,KAZ1977,
8691,,KAZ1978,
8692,,KAZ1979,
8693,,KAZ1980,
8694,,KAZ1981,
8695,,KAZ1982,
8696,,KAZ1983,
8697,,KAZ1984,
8698,,KAZ1985,
8699,,KAZ1986,
8700,,KAZ1987,
8701,,KAZ1988,
8702,,KAZ1989,
8703,,KAZ1990,48858580510.8963
8704,,KAZ1991,44461308264.5814
8705,18432373393.0772,KAZ1992,39348257815.4914
8706,8870943454.42593,KAZ1993,36672576282.1482
8707,7876567831.99989,KAZ1994,32638592893.268997
8708,7940654090.65963,KAZ1995,37257496634.8949
8709,7418919320.526071,KAZ1996,38002646567.5928
8710,7739646727.423359,KAZ1997,38458678326.4039
8711,6716763867.04149,KAZ1998,33882095605.5618
8712,7163702484.890441,KAZ1999,34898558473.7288
8713,10353710600.3753,KAZ2000,44635256287.899
8714,10166983108.4166,KAZ2001,43831821674.7168
8715,11576893016.1431,KAZ2002,51107904072.7199
8716,14928759197.6777,KAZ2003,54940996878.1738
8717,22654791781.5268,KAZ2004,61094388528.5293
8718,30386570590.006,KAZ2005,61338766082.6435
8719,41291971410.7609,KAZ2006,65509802176.2632
8720,51704436894.0436,KAZ2007,71471194174.3032
8721,76257057403.5405,KAZ2008,72114434921.8719
8722,48243324765.91,KAZ2009,63532817166.1692
8723,65502334498.3204,KAZ2010,65502334498.3204
8724,89503257382.3086,KAZ2011,65764343836.3137
8725,91747467851.4545,KAZ2012,68921032340.4568
8726,91381254223.3838,KAZ2013,70781900213.6491
8727,87108779033.8503,KAZ2014,69012352708.3079
8728,52581510794.9684,KAZ2015,66182846247.2672
8729,43714755377.6011,KAZ2016,63204618166.1401
8730,55964356244.306,KAZ2017,67249713728.7732
8731,,KAZ2018,
8732,246049901.36991298,KEN1960,1274722035.54736
8733,259433896.00488502,KEN1961,1409157454.67112
8734,278123874.512932,KEN1962,1546649952.2119699
8735,296813881.020969,KEN1963,1591530607.40237
8736,333479880.323256,KEN1964,1768587180.85448
8737,313319874.404475,KEN1965,1643204736.19036
8738,377439848.701727,KEN1966,1979477919.63089
8739,350839859.364439,KEN1967,1876469335.6685603
8740,397879840.508274,KEN1968,2110117908.5435398
8741,430639827.37630296,KEN1969,2303271924.6292896
8742,478239808.29565996,KEN1970,2369891525.52896
8743,509319796.428952,KEN1971,2478364364.4273
8744,560279775.966529,KEN1972,2213008345.62268
8745,685432764.625841,KEN1973,2404375402.02102
8746,1001288176.96366,KEN1974,2768796879.05222
8747,972056798.314511,KEN1975,2447114735.02094
8748,1127505379.78032,KEN1976,2493619973.43184
8749,1571184005.4499,KEN1977,2563178456.8583
8750,1534663179.45836,KEN1978,2606213154.41713
8751,1605552323.5173302,KEN1979,2486974257.61115
8752,2144500526.72449,KEN1980,2622015186.13378
8753,2087869962.0131898,KEN1981,2512227973.75622
8754,1714496080.37013,KEN1982,2592124236.61236
8755,1551597959.75086,KEN1983,2532903532.61558
8756,1656202769.96947,KEN1984,2555055915.5940104
8757,1552098224.32647,KEN1985,2726692582.90035
8758,1871195192.4321,KEN1986,2993141452.42727
8759,1698200957.2833,KEN1987,3000909554.36654
8760,1869200100.29808,KEN1988,3139169962.939
8761,1907852234.5369198,KEN1989,3434505542.75194
8762,2202462461.6117897,KEN1990,4208657504.6556396
8763,2204292981.28901,KEN1991,4156377878.3894296
8764,2155748038.2905803,KEN1992,4123976326.1437
8765,2237655076.6965604,KEN1993,5423878191.00058
8766,2647693121.92911,KEN1994,5361201714.51213
8767,2948351560.76827,KEN1995,4950466986.43069
8768,3035628835.90797,KEN1996,5176155470.00575
8769,2975495234.26832,KEN1997,4625123650.62397
8770,2842655387.82143,KEN1998,4399216488.02919
8771,2686592359.60424,KEN1999,4807473548.81679
8772,2742778003.4263,KEN2000,4862037579.50669
8773,2977896209.5436697,KEN2001,5037429949.472421
8774,3273521678.34299,KEN2002,5395843363.451321
8775,3590023638.4826603,KEN2003,5784995184.47835
8776,4283010819.23566,KEN2004,6513611779.97363
8777,5341992929.569671,KEN2005,7124576784.68745
8778,5935981292.85667,KEN2006,7376815886.18797
8779,7004914019.513471,KEN2007,7831045618.4428
8780,8138887724.375609,KEN2008,8016782585.125291
8781,7416382252.55973,KEN2009,7598381027.645921
8782,8262811548.69423,KEN2010,8262811548.69423
8783,9072837988.17261,KEN2011,9023786086.725271
8784,11205421267.8162,KEN2012,9635884955.81876
8785,10978241559.4459,KEN2013,9427485509.63875
8786,11243133133.6113,KEN2014,9977822168.3892
8787,10620451524.5191,KEN2015,10596835014.2785
8788,9902132321.3575,KEN2016,10319746135.7934
8789,10439798899.3423,KEN2017,9683633780.24224
8790,,KEN2018,
8791,,KIR1960,
8792,,KIR1961,
8793,,KIR1962,
8794,,KIR1963,
8795,,KIR1964,
8796,,KIR1965,
8797,,KIR1966,
8798,,KIR1967,
8799,,KIR1968,
8800,,KIR1969,
8801,,KIR1970,
8802,,KIR1971,
8803,8350898.20359281,KIR1972,
8804,16679982.879155401,KIR1973,
8805,59432058.2022999,KIR1974,
8806,37235240.2146878,KIR1975,
8807,23185873.151655897,KIR1976,
8808,21621202.0403637,KIR1977,
8809,24820876.7311434,KIR1978,
8810,26118935.8372457,KIR1979,
8811,18459120.929173302,KIR1980,
8812,12675706.7340841,KIR1981,
8813,10818135.7135612,KIR1982,
8814,10481801.8018018,KIR1983,
8815,16809302.325581398,KIR1984,
8816,9526084.22375864,KIR1985,
8817,10251871.657753998,KIR1986,
8818,9856322.64388741,KIR1987,
8819,9813579.1858739,KIR1988,
8820,9705993.99019453,KIR1989,
8821,8053859.96409336,KIR1990,
8822,10416342.1093628,KIR1991,
8823,10020564.042303199,KIR1992,
8824,9700530.39575684,KIR1993,
8825,10645781.547009801,KIR1994,
8826,11355967.3832469,KIR1995,
8827,8939666.64058221,KIR1996,
8828,13221908.8615111,KIR1997,
8829,11076014.5746953,KIR1998,
8830,12960000.0,KIR1999,
8831,7960111.31725417,KIR2000,
8832,9891745.11223751,KIR2001,
8833,14016353.363033801,KIR2002,
8834,15900836.6301317,KIR2003,
8835,12470583.909398401,KIR2004,
8836,16078350.515463902,KIR2005,
8837,12048192.7710843,KIR2006,
8838,22188519.789139003,KIR2007,
8839,22129927.864452302,KIR2008,
8840,20691389.798783302,KIR2009,
8841,20409924.7844432,KIR2010,20409924.7844432
8842,27182877.7720474,KIR2011,
8843,24938910.7475668,KIR2012,
8844,15736628.6927978,KIR2013,
8845,19379844.961240303,KIR2014,
8846,20359101.495004103,KIR2015,
8847,31222123.1043711,KIR2016,
8848,24524831.3917842,KIR2017,
8849,,KIR2018,
8850,,PRK1960,
8851,,PRK1961,
8852,,PRK1962,
8853,,PRK1963,
8854,,PRK1964,
8855,,PRK1965,
8856,,PRK1966,
8857,,PRK1967,
8858,,PRK1968,
8859,,PRK1969,
8860,,PRK1970,
8861,,PRK1971,
8862,,PRK1972,
8863,,PRK1973,
8864,,PRK1974,
8865,,PRK1975,
8866,,PRK1976,
8867,,PRK1977,
8868,,PRK1978,
8869,,PRK1979,
8870,,PRK1980,
8871,,PRK1981,
8872,,PRK1982,
8873,,PRK1983,
8874,,PRK1984,
8875,,PRK1985,
8876,,PRK1986,
8877,,PRK1987,
8878,,PRK1988,
8879,,PRK1989,
8880,,PRK1990,
8881,,PRK1991,
8882,,PRK1992,
8883,,PRK1993,
8884,,PRK1994,
8885,,PRK1995,
8886,,PRK1996,
8887,,PRK1997,
8888,,PRK1998,
8889,,PRK1999,
8890,,PRK2000,
8891,,PRK2001,
8892,,PRK2002,
8893,,PRK2003,
8894,,PRK2004,
8895,,PRK2005,
8896,,PRK2006,
8897,,PRK2007,
8898,,PRK2008,
8899,,PRK2009,
8900,,PRK2010,
8901,,PRK2011,
8902,,PRK2012,
8903,,PRK2013,
8904,,PRK2014,
8905,,PRK2015,
8906,,PRK2016,
8907,,PRK2017,
8908,,PRK2018,
8909,103762704.990748,KOR1960,172361147.032899
8910,97683169.96711309,KOR1961,233395988.61997798
8911,109000419.232382,KOR1962,270037653.722425
8912,157385220.71238703,KOR1963,309187836.974001
8913,171665671.401696,KOR1964,398949536.399896
8914,222484984.98498502,KOR1965,544746341.239779
8915,331687182.133117,KOR1966,778375881.549503
8916,442518113.263345,KOR1967,1011936221.35856
8917,620639797.578167,KOR1968,1396293102.1805902
8918,814720988.3398111,KOR1969,1906032640.14615
8919,1030074703.76095,KOR1970,2490958522.0849104
8920,1254500936.19473,KOR1971,3091272865.35918
8921,1801267530.3520103,KOR1972,4416375952.4800205
8922,3314169511.95019,KOR1973,6656482659.65205
8923,4336539174.72248,KOR1974,6943664737.41438
8924,4924793388.42975,KOR1975,8425766460.420341
8925,7610743801.65289,KOR1976,11706821698.855
8926,9958884297.520658,KOR1977,14236272999.4352
8927,12880371900.8264,KOR1978,16587273508.9238
8928,15622933884.2975,KOR1979,17000400497.8976
8929,18490854913.3233,KOR1980,18616751192.1949
8930,21695813693.9636,KOR1981,21185127774.3994
8931,21284264375.9917,KOR1982,21598773767.1282
8932,24357331614.5665,KOR1983,25197459303.6181
8933,28420680413.9061,KOR1984,28743206457.0987
8934,27405347003.5172,KOR1985,29055387215.7265
8935,37521016506.8921,KOR1986,39144387709.6451
8936,50974020448.1078,KOR1987,48000840786.0831
8937,65053932492.1049,KOR1988,53845515072.3016
8938,67839335180.0554,KOR1989,51924595674.4497
8939,70786848649.2596,KOR1990,54309244927.3871
8940,78673621054.067,KOR1991,61036831101.473
8941,86206110292.7048,KOR1992,68876036818.1264
8942,93227353707.0029,KOR1993,75480273099.7759
8943,110482295102.371,KOR1994,87982035550.0272
8944,144224331297.73,KOR1995,108276639381.486
8945,151227795388.153,KOR1996,120551597190.806
8946,161547792996.87802,KOR1997,143248755904.749
8947,151153456444.8,KOR1998,163665325618.63098
8948,162869063441.059,KOR1999,185069472977.637
8949,196621454339.67603,KOR2000,216849370405.195
8950,174480979713.243,KOR2001,211894182054.40698
8951,187741729212.12698,KOR2002,239507171334.385
8952,222545044099.999,KOR2003,272780156064.429
8953,292911064156.742,KOR2004,329032378049.255
8954,330601287919.62897,KOR2005,354750311618.505
8955,376047310902.235,KOR2006,397618551270.21796
8956,439918201342.08295,KOR2007,447942625864.89795
8957,500722791511.46704,KOR2008,481521390307.259
8958,428867909752.29706,KOR2009,479954085467.808
8959,540896025382.74396,KOR2010,540896025382.74396
8960,670343134269.386,KOR2011,622755373635.1279
8961,688932549339.051,KOR2012,654427750784.777
8962,703395679912.799,KOR2013,682306556487.936
8963,709555664370.412,KOR2014,696154528178.0121
8964,626899437081.043,KOR2015,695245406600.5171
8965,598238640838.845,KOR2016,713050608921.1559
8966,659615510844.332,KOR2017,726622470613.575
8967,,KOR2018,
8968,,XKX1960,
8969,,XKX1961,
8970,,XKX1962,
8971,,XKX1963,
8972,,XKX1964,
8973,,XKX1965,
8974,,XKX1966,
8975,,XKX1967,
8976,,XKX1968,
8977,,XKX1969,
8978,,XKX1970,
8979,,XKX1971,
8980,,XKX1972,
8981,,XKX1973,
8982,,XKX1974,
8983,,XKX1975,
8984,,XKX1976,
8985,,XKX1977,
8986,,XKX1978,
8987,,XKX1979,
8988,,XKX1980,
8989,,XKX1981,
8990,,XKX1982,
8991,,XKX1983,
8992,,XKX1984,
8993,,XKX1985,
8994,,XKX1986,
8995,,XKX1987,
8996,,XKX1988,
8997,,XKX1989,
8998,,XKX1990,
8999,,XKX1991,
9000,,XKX1992,
9001,,XKX1993,
9002,,XKX1994,
9003,,XKX1995,
9004,,XKX1996,
9005,,XKX1997,
9006,,XKX1998,
9007,,XKX1999,
9008,,XKX2000,
9009,,XKX2001,
9010,137595618.094249,XKX2002,
9011,156621056.202646,XKX2003,
9012,385428322.765137,XKX2004,
9013,413878870.787216,XKX2005,
9014,553882825.2415,XKX2006,726293143.444327
9015,748836572.679989,XKX2007,917899352.869815
9016,891899809.57961,XKX2008,918653708.025033
9017,965407057.5159769,XKX2009,1033013949.55615
9018,1162913907.28477,XKX2010,1162913907.28477
9019,1581456769.53016,XKX2011,1453189771.01283
9020,1511627906.9767401,XKX2012,1212248734.43605
9021,1550849707.91291,XKX2013,1192333758.33829
9022,1662199814.2497,XKX2014,1268071015.92222
9023,1412775867.80526,XKX2015,1292361251.92025
9024,1591261061.9469,XKX2016,1322988071.2221198
9025,1930757935.16322,XKX2017,1544617615.82531
9026,,XKX2018,
9027,,KWT1960,
9028,,KWT1961,
9029,,KWT1962,
9030,,KWT1963,
9031,,KWT1964,
9032,1419770372.44469,KWT1965,
9033,1570988518.62223,KWT1966,
9034,1453374404.92859,KWT1967,
9035,1643797255.67068,KWT1968,
9036,1758611033.324,KWT1969,
9037,1719126295.1554198,KWT1970,
9038,2574557708.50885,KWT1971,
9039,3053511705.68562,KWT1972,
9040,3890424814.56507,KWT1973,
9041,11048772169.1678,KWT1974,
9042,9675862413.7931,KWT1975,
9043,10233925786.5937,KWT1976,
9044,10181437892.5331,KWT1977,
9045,10934205743.366,KWT1978,
9046,19294501447.178,KWT1979,
9047,22438031446.5409,KWT1980,
9048,17413917144.9067,KWT1981,
9049,11761027787.4262,KWT1982,
9050,12339965694.6827,KWT1983,
9051,13042891252.9551,KWT1984,
9052,11509308843.0851,KWT1985,
9053,8269098761.18376,KWT1986,
9054,11750987082.8848,KWT1987,
9055,9842293548.38709,KWT1988,
9056,12739959496.256,KWT1989,
9057,8281249652.77778,KWT1990,
9058,1860710517.05944,KWT1991,
9059,8036810156.78255,KWT1992,
9060,11437086423.8411,KWT1993,
9061,12636363299.6633,KWT1994,
9062,14235924932.9759,KWT1995,
9063,16466265531.0621,KWT1996,
9064,16043520936.3666,KWT1997,
9065,11377952755.9055,KWT1998,
9066,13837056504.5992,KWT1999,
9067,21297262385.9192,KWT2000,
9068,17900227910.0098,KWT2001,
9069,17015464955.5775,KWT2002,
9070,24939597315.4362,KWT2003,
9071,33831014591.1096,KWT2004,
9072,51691780821.9178,KWT2005,
9073,66560992419.0214,KWT2006,
9074,72698803659.3948,KWT2007,
9075,98400297619.0476,KWT2008,
9076,62977762334.9548,KWT2009,
9077,76953942777.3901,KWT2010,76953942777.3901
9078,112775362318.841,KWT2011,87929169574.3196
9079,130085744908.896,KWT2012,94688415910.6769
9080,123413258110.014,KWT2013,90907536636.4271
9081,111412508784.259,KWT2014,92184228890.4397
9082,61597540711.1997,KWT2015,91384159106.769
9083,53495531281.0328,KWT2016,93029658060.014
9084,60237388724.0356,KWT2017,90579204466.1549
9085,,KWT2018,
9086,,KGZ1960,
9087,,KGZ1961,
9088,,KGZ1962,
9089,,KGZ1963,
9090,,KGZ1964,
9091,,KGZ1965,
9092,,KGZ1966,
9093,,KGZ1967,
9094,,KGZ1968,
9095,,KGZ1969,
9096,,KGZ1970,
9097,,KGZ1971,
9098,,KGZ1972,
9099,,KGZ1973,
9100,,KGZ1974,
9101,,KGZ1975,
9102,,KGZ1976,
9103,,KGZ1977,
9104,,KGZ1978,
9105,,KGZ1979,
9106,,KGZ1980,
9107,,KGZ1981,
9108,,KGZ1982,
9109,,KGZ1983,
9110,,KGZ1984,
9111,,KGZ1985,
9112,,KGZ1986,
9113,,KGZ1987,
9114,,KGZ1988,
9115,,KGZ1989,
9116,781250000.0,KGZ1990,
9117,908333333.333333,KGZ1991,
9118,824375000.0,KGZ1992,
9119,680113636.363636,KGZ1993,892137889.666818
9120,567538461.538462,KGZ1994,722903587.23993
9121,489454732.510288,KGZ1995,847512706.173849
9122,561760456.125278,KGZ1996,978868437.548416
9123,676860146.910557,KGZ1997,1186225164.48934
9124,600501762.428492,KGZ1998,1081490102.6848
9125,527140642.41694295,KGZ1999,968870445.618298
9126,573185350.355847,KGZ2000,1070841834.8567901
9127,560092476.958169,KGZ2001,1036133358.8067
9128,635535283.252412,KGZ2002,1111931143.15496
9129,742293893.688681,KGZ2003,1377609489.68823
9130,941138691.60631,KGZ2004,1652716836.74097
9131,942411696.1459869,KGZ2005,1582324470.7939599
9132,1182432651.19082,KGZ2006,1914534170.13051
9133,2012051033.99855,KGZ2007,2528069479.7934
9134,2752393737.7305603,KGZ2008,2976068931.19868
9135,2565386524.8309603,KGZ2009,2718722244.60717
9136,2471698687.8947396,KGZ2010,2471698687.8947396
9137,3380167259.37773,KGZ2011,2822116112.3723
9138,2932959610.25008,KGZ2012,3451623823.7772303
9139,3099060450.34797,KGZ2013,3584198822.46034
9140,2796701463.63465,KGZ2014,3190172270.5802603
9141,2350024277.83147,KGZ2015,2579441275.72702
9142,2440818089.62713,KGZ2016,2558388593.53271
9143,2679261529.88309,KGZ2017,2612645988.76323
9144,,KGZ2018,
9145,,LAO1960,
9146,,LAO1961,
9147,,LAO1962,
9148,,LAO1963,
9149,,LAO1964,
9150,,LAO1965,
9151,,LAO1966,
9152,,LAO1967,
9153,,LAO1968,
9154,,LAO1969,
9155,,LAO1970,
9156,,LAO1971,
9157,,LAO1972,
9158,,LAO1973,
9159,,LAO1974,
9160,,LAO1975,
9161,,LAO1976,
9162,,LAO1977,
9163,,LAO1978,
9164,,LAO1979,
9165,,LAO1980,
9166,,LAO1981,
9167,,LAO1982,
9168,,LAO1983,
9169,48571428.571428604,LAO1984,
9170,95555562.22222221,LAO1985,
9171,64210523.1578947,LAO1986,
9172,66241427.1601272,LAO1987,
9173,81630154.17895369,LAO1988,
