,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year
414,-0.3027254327488573,-0.4466855776372567,-0.34343299638899666,2842.8706173975934,797587.0,2.0487909603105407e-05,0.049528981181758316,0.05703369403541508,0.0,4.05398317028789,0.0,BTN2015,BTN,2015
415,1.8012333031358607,1.845992603696779,2.256645870445418,,,,,,,,,BVT2000,BVT,2000
416,1.3824837503812968,1.2771232954468208,1.4228538884402648,,,,,,,,,BVT2005,BVT,2005
417,1.4423072338014016,1.5328392704732223,1.9433610569231914,,,,,,,,,BVT2010,BVT,2010
418,1.3973663091944664,2.3118980320532043,2.242423787407505,,,,,,,,,BVT2015,BVT,2015
419,,,,64.5904653326414,551758.6,,,,,,,BWA1960,BWA,1960
420,,,,93.86971078107862,634288.0,,,,,,,BWA1965,BWA,1965
421,,,,247.915993559246,744335.6,,,,,2.835233495758546,,BWA1970,BWA,1970
422,,,,571.3729059954672,893474.4,,,,,4.9068747939201005,,BWA1975,BWA,1975
423,-1.0962912578951183,-1.094256625148904,-1.5291344613621376,1033.5288332228813,1076055.0,,,,0.0,2.9468040568147558,0.0,BWA1980,BWA,1980
424,-1.3650616888129357,-1.3146493735065394,-1.6152514410992342,1592.0939568239548,1264336.0,,,,0.0,3.4643871847097882,0.0,BWA1985,BWA,1985
425,-0.8349559042829953,-0.8234410761808686,-0.9696426445518288,2788.906055773748,1455558.2,,,,0.0,1.2545342434503723,0.0,BWA1990,BWA,1990
426,-1.328693889247944,-1.3020585683615276,-1.7426217676507552,3039.6100113607818,1636055.2,,,,0.0,0.8525644359550565,0.0,BWA1995,BWA,1995
427,-0.5421186789909223,-0.5693439220975753,-0.70810469612576,3718.4869476896783,1779379.4,0.00013818245588675474,0.23955152844348584,0.24312842559039582,0.0,1.5039935809288696,0.0,BWA2000,BWA,2000
428,-0.4346422195895664,-0.4940451770241084,-0.5702617727691128,5449.793189241792,1916147.4,0.0008186653791014814,0.2378186738179148,0.24653678773413965,0.0,7.71593199918275,0.0,BWA2005,BWA,2005
429,-0.6641152690286082,-0.5991966313540338,-0.6027283927165565,7045.358841097994,2090520.0,0.0016043087736378268,0.3477469594063516,0.35660161759217673,0.0,3.648222699936178,0.0,BWA2010,BWA,2010
430,-0.7915152858186829,-0.4460922262033352,-0.4459660845421935,7023.633798627539,2250372.6666666665,0.00032896152904034984,0.4021034068889744,0.4059082343632908,0.0,1.1978568192578134,0.0,BWA2015,BWA,2015
431,-0.6583601656334312,-0.8531907705645944,-1.0087982050743733,80.90624083460602,1558335.0,2.2531236344612586e-06,0.026394093087018886,0.07366209261059808,,,,CAF1960,CAF,1960
432,-0.8163874011810177,-1.0069199368358484,-1.1851417743642778,98.93125612002082,1719577.0,0.00045161080468454585,0.09953192572696175,0.153084669612997,,,,CAF1965,CAF,1965
433,-0.7326733058265333,-0.8582985579423801,-1.2732183301620394,123.0210437858854,1901197.2,0.003579040599191509,0.06556205810629898,0.20547475144286312,,9.765422957136426,,CAF1970,CAF,1970
