Country,Year,NY.GDP.TOTL.RT.ZS
EAR,2006,12.5967241691064
EAR,2007,11.7116131403755
EAR,2008,14.11580815115
EAR,2009,8.28183851999238
EAR,2010,9.39472683085703
EAR,2011,12.0618811329769
EAR,2012,11.2439576411109
EAR,2013,10.1764057004148
EAR,2014,8.68259104507096
EAR,2015,4.90655292629982
EAR,2016,4.19024565910803
EAR,2017,5.06367501926889
EAR,2018,
EAS,1960,
EAS,1961,
EAS,1962,
EAS,1963,
EAS,1964,
EAS,1965,
EAS,1966,
EAS,1967,
EAS,1968,
EAS,1969,
EAS,1970,0.881246707497649
EAS,1971,0.889867006862468
EAS,1972,0.987212455724516
EAS,1973,1.53837932909321
EAS,1974,2.58614654508725
EAS,1975,2.99828730696608
EAS,1976,3.24503630624368
EAS,1977,3.22449844745949
EAS,1978,2.49588587081458
EAS,1979,4.15318243583577
EAS,1980,4.67996415232367
EAS,1981,3.82861525583236
EAS,1982,3.39044786355367
EAS,1983,2.98733596085529
EAS,1984,2.6030251954304
EAS,1985,2.59925488330778
EAS,1986,1.30778902847757
EAS,1987,1.26731479843882
EAS,1988,1.17849856269417
EAS,1989,1.34389892376257
EAS,1990,1.52458376380268
EAS,1991,1.01052592318167
EAS,1992,0.941555670844291
EAS,1993,0.78297631372126
EAS,1994,0.69800409504943
EAS,1995,0.742080317493444
EAS,1996,0.849242273578363
EAS,1997,0.781425808000504
EAS,1998,0.613020439871221
EAS,1999,0.618631230290567
EAS,2000,1.00461601092059
EAS,2001,1.03516922800754
EAS,2002,0.933291274690087
EAS,2003,1.04635907672086
EAS,2004,1.80173001322636
EAS,2005,2.21323159313836
EAS,2006,2.74149102518134
EAS,2007,3.40075529346462
EAS,2008,5.05984803065707
EAS,2009,2.51332131764118
EAS,2010,3.72710289264862
EAS,2011,4.761607846712
EAS,2012,2.99891075078175
EAS,2013,2.63365723963165
EAS,2014,2.2834880987632
EAS,2015,1.45031628151001
EAS,2016,1.31087626926759
EAS,2017,1.5666022329068
EAS,2018,
EAP,1960,
EAP,1961,
EAP,1962,
EAP,1963,
EAP,1964,
EAP,1965,
EAP,1966,
EAP,1967,
EAP,1968,
EAP,1969,
EAP,1970,1.81989384325911
EAP,1971,1.87922352756825
EAP,1972,2.57067744287877
EAP,1973,4.40992120670745
EAP,1974,7.71283444089756
EAP,1975,8.87351031250422
EAP,1976,10.3967979539517
EAP,1977,10.9671723641239
EAP,1978,11.2387575674559
EAP,1979,18.6319180607915
EAP,1980,19.2420389946074
EAP,1981,16.284355704839
EAP,1982,13.3365242327214
EAP,1983,11.9456881738998
EAP,1984,10.0640118747902
EAP,1985,9.39646162826946
EAP,1986,6.12805919154142
EAP,1987,7.22621399170359
EAP,1988,6.79506043406676
EAP,1989,7.8906027773945
EAP,1990,8.75598038288883
EAP,1991,6.02145544949807
EAP,1992,5.57505311697727
EAP,1993,4.72822034081361
EAP,1994,3.9218126203809
EAP,1995,3.89186787347847
EAP,1996,3.7126023854595
EAP,1997,3.11257832423619
EAP,1998,2.27690298871348
EAP,1999,2.37721127944067
EAP,2000,3.8011303875264
EAP,2001,3.44127458065468
EAP,2002,2.82268598600297
EAP,2003,3.14918175937852
EAP,2004,5.44295239914134
EAP,2005,5.94946029061196
EAP,2006,6.47217432534298
EAP,2007,7.08327764224968
EAP,2008,9.87934530205623
EAP,2009,4.54648249556804
EAP,2010,6.468039963586
EAP,2011,8.02406837330293
EAP,2012,4.67426815706831
EAP,2013,3.61745390159894
EAP,2014,3.00702083754614
EAP,2015,1.79929205387417
EAP,2016,1.5988825768177
EAP,2017,1.85949956634495
EAP,2018,
TEA,1960,
TEA,1961,
TEA,1962,
TEA,1963,
TEA,1964,
TEA,1965,
TEA,1966,
TEA,1967,
TEA,1968,
TEA,1969,
TEA,1970,1.81989384325911
TEA,1971,1.87922352756825
TEA,1972,2.57067744287877
TEA,1973,4.40992120670745
TEA,1974,7.71283444089756
TEA,1975,8.87351031250422
TEA,1976,10.3967979539517
TEA,1977,10.9671723641239
TEA,1978,11.2387575674559
TEA,1979,18.6319180607915
TEA,1980,19.2420389946074
TEA,1981,16.284355704839
TEA,1982,13.3365242327215
TEA,1983,11.9456881738998
TEA,1984,10.0640118747902
TEA,1985,9.39646162826946
TEA,1986,6.12805919154142
TEA,1987,7.22621399170359
TEA,1988,6.79506043406676
TEA,1989,7.8906027773945
TEA,1990,8.75598038288883
TEA,1991,6.02145544949807
TEA,1992,5.57505311697727
TEA,1993,4.72822034081361
TEA,1994,3.9218126203809
TEA,1995,3.89186787347847
TEA,1996,3.7126023854595
TEA,1997,3.11257832423619
TEA,1998,2.27690298871348
TEA,1999,2.37721127944067
TEA,2000,3.80106398967653
TEA,2001,3.4412123312082
TEA,2002,2.82333949629797
TEA,2003,3.14983979646805
TEA,2004,5.44394055035418
TEA,2005,5.9503508218578
TEA,2006,6.47293976252988
TEA,2007,7.08394487511978
TEA,2008,9.88018158388887
TEA,2009,4.5469106300688
TEA,2010,6.46845361145679
TEA,2011,8.02448874340444
TEA,2012,4.67452207310809
TEA,2013,3.61762777055421
TEA,2014,3.00715433397489
TEA,2015,1.79936715764502
TEA,2016,1.59894495596646
TEA,2017,1.85956595119927
TEA,2018,
EMU,1960,
EMU,1961,
EMU,1962,
EMU,1963,
EMU,1964,
EMU,1965,
EMU,1966,
EMU,1967,
EMU,1968,
EMU,1969,
EMU,1970,0.20341899621093
EMU,1971,0.191314943203234
EMU,1972,0.173811692679209
EMU,1973,0.21375006018198
EMU,1974,0.348201533700893
EMU,1975,0.484083722336798
EMU,1976,0.51566509342962
EMU,1977,0.440878671101223
EMU,1978,0.35503223542599
EMU,1979,0.430531762098458
EMU,1980,0.506468989757132
EMU,1981,0.567589038940911
EMU,1982,0.4935467204186
EMU,1983,0.464874195863748
EMU,1984,0.416702676407352
EMU,1985,0.433523458349049
EMU,1986,0.228928900919128
EMU,1987,0.152975268083743
EMU,1988,0.161586544041111
EMU,1989,0.193874358705028
EMU,1990,0.192352535835821
EMU,1991,0.123731998602056
EMU,1992,0.0947138928129848
EMU,1993,0.098934192462654
EMU,1994,0.0869333832073882
EMU,1995,0.090425794549196
EMU,1996,0.099590481516902
EMU,1997,0.0925853080815625
EMU,1998,0.0613143385359557
EMU,1999,0.0603465864854608
EMU,2000,0.126565368831941
EMU,2001,0.164765353256711
EMU,2002,0.132861857238347
EMU,2003,0.119655559932957
EMU,2004,0.127194569201879
EMU,2005,0.127411301242187
EMU,2006,0.176877774837779
EMU,2007,0.180033122538073
EMU,2008,0.248438913286479
EMU,2009,0.167981158715482
EMU,2010,0.193510898830013
EMU,2011,0.239808313570806
EMU,2012,0.231560890534351
EMU,2013,0.205711725667269
EMU,2014,0.161215764281451
EMU,2015,0.114515738515908
EMU,2016,0.093170595097653
EMU,2017,0.111682759562576
EMU,2018,
ECS,1960,
ECS,1961,
ECS,1962,
ECS,1963,
ECS,1964,
ECS,1965,
ECS,1966,
ECS,1967,
