,map,res_exp1,res_exp2,res_exp3
6231,MAC1979,100728.984375,5871693.717468262,10443545.370117188
6232,MAC1980,513532.9370117188,8975068.585998535,13367103.385253906
6233,MAC1981,17402.0,8357937.598388671,12927048.248718262
6234,MAC1982,8180.0,17631686.004638672,22296868.979248047
6235,MAC1983,11200.000244140623,6992458.633300781,13895528.560913086
6236,MAC1984,117766.9921875,11398472.474243164,17010448.910949707
6237,MAC1985,237953.98529052734,20716631.012054443,27257548.964263916
6238,MAC1986,39169.995849609375,20229329.340301517,25533562.336029056
6239,MAC1987,191418.00073242188,26658369.95941162,31035959.73223877
6240,MAC1988,221192.0,29153836.866210934,33198572.63970947
6241,MAC1989,149459.9990234375,24220850.219299316,29501950.030212402
6242,MAC1990,126239.0,18995440.0,24949233.0
6243,MAC1991,805013.0,12999633.0,24763526.0
6244,MAC1992,445516.0,15261946.0,23561628.0
6245,MAC1993,362120.0,21508975.0,29416892.0
6246,MAC1994,10113826.0,29442217.0,36728730.0
6247,MAC1995,33304.0,16151171.0,25407391.0
6248,MAC1996,105507.0,16767935.0,22088224.0
6249,MAC1997,26425.0,17577945.0,25945493.0
6250,MAC1998,1323791.0,17763748.0,27362072.0
6251,MAC1999,20523.0,17526821.0,21637524.0
6252,MAC2000,23072.0,14778216.0,20393244.0
6253,MAC2001,147826.0,12868907.0,19155067.0
6254,MAC2002,42527.0,9764844.0,16060212.0
6255,MAC2003,625284.0,16846421.0,24482444.0
6256,MAC2004,441.0,41473763.0,51559808.0
6257,MAC2005,3128980.0,60385470.0,73154407.0
6258,MAC2006,5282526.0,102123599.0,118223628.0
6259,MAC2007,5718564.0,150048503.0,168636103.0
6260,MAC2008,4242602.0,172735489.0,194129610.0
6261,MAC2009,4411940.0,188749585.0,206345642.0
6262,MAC2010,0.0,85817858.0,108937872.0
6263,MAC2011,18688307.0,135288615.0,172569712.0
6264,MAC2012,2744401.0,240301572.0,296014724.0
6265,MAC2013,15036690.0,272000446.0,329497923.0
6266,MAC2014,2907751.0,116679912.0,200087985.0
6267,MAC2015,5758065.0,121108939.0,202592601.0
6268,MAC2016,7756636.0,116985679.0,180267100.0
6269,MAR1962,243194.24224853516,56380950.56008148,186810666.60401154
6270,MAR1963,183794.2392578125,46987639.10317993,200117351.07791138
6271,MAR1964,634221.6938476561,58352266.61730957,233112768.5746765
6272,MAR1965,1580659.5551757812,67649781.95117188,239232721.75784302
6273,MAR1966,690512.3951416014,60439929.827819824,222911052.7733612
6274,MAR1967,963012.6984863281,54720737.69816589,215624885.41812134
6275,MAR1968,1960140.8815917969,50865260.57455444,221595736.94940186
6276,MAR1969,579467.7368164061,52362281.530822754,229295884.5029297
6277,MAR1970,1538945.1592712402,60252851.16973877,250501899.0178833
6278,MAR1971,947333.2923583983,46129955.12296295,232030923.700325
6279,MAR1972,855227.7290039062,49949712.977767944,255328930.93826294
6280,MAR1973,5417576.015625,79937996.46429443,370516225.1342163
6281,MAR1974,14865636.460205078,135440338.5185852,1144344785.746029
6282,MAR1975,13794782.75,84821715.45114136,1004184463.1766357
6283,MAR1976,15640035.578125,111534554.47731781,793974280.6953354
6284,MAR1977,17962979.53149414,149772643.98002625,845504454.4882507
6285,MAR1978,16741625.484375,138261296.301239,791879258.5907898
6286,MAR1979,64243967.5,283030348.2918701,1026414790.3478394
6287,MAR1980,110012594.125,333960676.3195801,1300204027.397522
6288,MAR1981,99296939.46856691,257115433.725708,1191443695.6096802
6289,MAR1982,68142949.72619629,209404919.97991943,978990389.037979
6290,MAR1983,98809377.1875,239199513.94171143,887925314.8871306
6291,MAR1984,90400506.3984375,209967052.28674316,846131367.710846
6292,MAR1985,71637522.69970703,190007138.12327576,811599035.3288727
6293,MAR1986,42785358.875,151840926.59173584,766967638.5684203
6294,MAR1987,79425021.0,205833741.92895508,769720746.8722228
6295,MAR1988,61798784.6953125,233075727.33831787,921961656.6837158
6296,MAR1989,96665041.98815918,286589570.03359985,1006838724.4697571
6297,MAR1990,153080936.0,359352101.0,965293771.0
6298,MAR1991,100873908.0,285718260.0,825266582.0
6299,MAR1992,139596957.0,306492866.0,863518656.0
6300,MAR1993,104801050.0,300262440.0,723840949.0
6301,MAR1994,95809901.0,324006778.0,845018374.0
6302,MAR1995,93864751.0,354675631.0,898409907.0
6303,MAR1996,100741133.0,374143092.0,920366149.0
6304,MAR1997,112105392.0,380099137.0,1062937845.0
6305,MAR1998,172001623.0,462345105.0,1137987388.0
6306,MAR1999,250220141.0,529631474.0,1176176502.0
6307,MAR2000,324015482.0,630247498.0,1265005410.0
6308,MAR2001,336475187.0,591627323.0,1180823103.0
6309,MAR2002,265804324.0,560624981.0,1158289690.0
6310,MAR2003,298640584.0,596960113.0,1214489129.0
6311,MAR2004,555184940.0,1051101271.0,1754987960.0
6312,MAR2005,700614362.0,1283311596.0,2130645818.0
6313,MAR2006,571188786.0,1286562882.0,2230912848.0
6314,MAR2007,667961442.0,1665938695.0,2796980546.0
6315,MAR2008,866286672.0,1931458323.0,4716399495.0
6316,MAR2009,519926212.0,1169058546.0,2091025729.0
6317,MAR2010,839421588.0,1708083849.0,3138576942.0
6318,MAR2011,977610488.0,2263583182.0,4211809761.0
6319,MAR2012,1125936461.0,2343384887.0,4397353309.0
6320,MAR2013,1583219982.0,2569139950.0,4136953710.0
6321,MAR2014,1162180608.0,2069019318.0,3573772754.0
6322,MAR2015,553460508.0,1423296531.0,3009212591.0
6323,MAR2016,251169525.0,1090716610.0,2401163309.0
6324,MDA1992,10650753.0,38445963.0,49200918.0
6325,MDA1993,87215.0,62453036.0,66741914.0
6326,MDA1994,847791.0,72510660.0,178187875.0
6327,MDA1995,85002.0,125359014.0,270733304.0
6328,MDA1996,181471.0,115208949.0,270672823.0
6329,MDA1997,255357.0,154215469.0,292971177.0
6330,MDA1998,15869394.0,158974450.0,262139891.0
6331,MDA1999,208339.0,131973015.0,224809002.0
6332,MDA2000,329113.0,189775062.0,246166750.0
6333,MDA2001,94888.0,128106581.0,186605318.0
6334,MDA2002,281472.0,95436130.0,197679703.0
6335,MDA2003,440873.0,157279226.0,219668531.0
6336,MDA2004,1328216.0,347724345.0,400802573.0
6337,MDA2005,1123219.0,331143888.0,422361017.0
6338,MDA2006,5765341.0,325135194.0,434498840.0
6339,MDA2007,2047503.0,588726943.0,704848320.0
6340,MDA2008,3492515.0,781604993.0,949222185.0
6341,MDA2009,4917302.0,165805711.0,322129084.0
6342,MDA2010,7596848.0,204287190.0,364380642.0
6343,MDA2011,13704720.0,245151131.0,418097588.0
6344,MDA2012,14337853.0,205999128.0,364527856.0
6345,MDA2013,21180074.0,216393170.0,470881017.0
6346,MDA2014,13664931.0,268804678.0,675545012.0
6347,MDA2015,9551768.0,186427688.0,435796181.0
6348,MDA2016,7606610.0,129113501.0,439582215.0
6349,MDG1962,12648.263732910156,1733315.7612304688,64113742.68951416
6350,MDG1963,5701.0,1662797.48046875,61629823.060058594
6351,MDG1964,6287.007080078125,1799005.738708496,68711675.40179443
6352,MDG1965,7000.5748291015625,1907029.1739501953,66768870.59259033
6353,MDG1966,1198963.3857803345,3360893.0712509155,64076788.21562958
6354,MDG1967,3501737.5544433594,5339329.177856445,71646108.89196777
6355,MDG1968,2733792.9381713867,3865254.8603515625,102317620.63970947
6356,MDG1969,3623445.4684448238,6541836.677185058,82998217.21582031
6357,MDG1970,4137383.7080078125,10189637.349456787,120649851.24093628
6358,MDG1971,3548921.7568359375,9354181.183166504,128768847.71020506
6359,MDG1972,4268616.123779297,10025952.133621216,123643317.95173644
6360,MDG1973,6644065.302734375,12872525.338867188,150964675.1312256
6361,MDG1974,19346777.970703125,30502389.770874023,183240690.74163818
6362,MDG1975,27902218.247436523,44182621.081604004,281334178.9524536
6363,MDG1976,27223689.8125,51628410.586364746,247186354.76141357
6364,MDG1977,16233875.669433596,35103939.4430542,335309764.04815674
6365,MDG1978,6232754.748046875,20343382.68395996,348200408.56555176
6366,MDG1979,14016992.78112793,29876688.948669434,315222898.9550171
6367,MDG1980,16161410.326049805,32868107.552124023,374337734.2819214
6368,MDG1981,9557164.501708984,15457491.380981445,294035385.26779175
6369,MDG1982,11082614.0078125,19017501.70288086,287228151.33032227
6370,MDG1983,8574266.625,14096015.421875,234809574.47039795
6371,MDG1984,804795.9296569823,6981378.315734863,248008669.81744385
6372,MDG1985,555903.78125,8053158.685913086,218552741.24694824
6373,MDG1986,7644940.639648437,18239033.322021484,292488547.49676514
6374,MDG1987,116057.841796875,10236673.278320312,267122307.6669922
6375,MDG1988,33213.21875,16970531.494873047,234683793.0647583
6376,MDG1989,83062.9921875,29490837.498046875,233381588.38867188
6377,MDG1990,30373618.0,86257930.0,299491366.0
6378,MDG1991,6546195.0,28127921.0,189136349.0
6379,MDG1992,8389887.0,21737264.0,200333134.0
6380,MDG1993,5442440.0,16152719.0,177627380.0
