,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t
91,,,,950.3658427711338,126023808.27502318,,,,34.88252095680092,35.38311037752331,,ARB1975,ARB,1975,12,4
92,,,,1515.7729195649865,144520037.4168224,,,,27.031410349348448,27.37964749070698,,ARB1980,ARB,1980,12,5
93,,,,1196.0993116357454,162676451.24957982,,,,14.722007630339627,15.134895658148158,,ARB1985,ARB,1985,12,6
94,,,,1499.0352505423368,179428510.81572703,,,,15.670435946709992,16.019192265477034,,ARB1990,ARB,1990,12,7
95,,,,1583.2681984824612,190712802.85352597,,,,12.675179513433688,13.112482446178216,,ARB1995,ARB,1995,12,8
96,,,,1739.5555052788905,192427228.54522616,,,,15.2451480639593,15.88718242740607,,ARB2000,ARB,2000,12,9
97,,,,2645.5744131419697,180681152.97778937,,,,17.489317668684834,18.47539378136643,,ARB2005,ARB,2005,12,10
98,,,,2489.497714473378,131978432.58326748,,,,10.632115813123065,11.421150836159942,,ARB2010,ARB,2010,12,11
99,,,,,,,,,,,,ARB2015,ARB,2015,12,12
100,-1.279628997256735,-1.185872750429278,,,100100.10515709907,,,,,,,ARE1960,ARE,1960,12,1
101,0.578816203840442,0.5034701717568484,0.5496682606682082,,150498.00222321248,,,,,,,ARE1965,ARE,1965,12,2
102,0.21547031499217284,0.5229725796471908,0.7591614306547589,,292961.84571935126,,,,,,,ARE1970,ARE,1970,12,3
103,0.9622993627386722,0.9911272039574758,0.9868961005266026,25174.407775958,629157.1733440016,0.3243791589910911,0.3265175686935834,0.3275242197337675,35.43488885424933,35.61359421375009,,ARE1975,ARE,1975,12,4
104,0.9658212846841672,1.1592242991443755,1.2111355037239233,31249.913912123946,969804.1302035525,0.2847666110275096,0.29094455486836446,0.2915558407883015,23.93283281453884,24.160223384005832,0.001008745568492619,ARE1980,ARE,1980,12,5
105,0.9050241951698575,0.9849118679754585,0.998709570597294,19216.62010763366,1243648.320583841,0.21381965469878136,0.22183973764557022,0.22330316516316398,17.863760218338733,18.26871425157587,0.0008318108094144079,ARE1985,ARE,1985,12,6
106,0.3436356923206543,0.4183777724062173,0.4015936165923262,19791.75034078681,1590362.6536173548,0.21905624139743102,0.22796613563687654,0.23099356964461532,18.49592736516068,18.822987998681008,0.0008673397346740183,ARE1990,ARE,1990,12,7
107,0.4112731865828103,0.5844399839020868,0.6530184860198776,19975.850742418657,1938568.1846966152,0.16564682559426674,0.17688616125962608,0.18200268410131476,11.432397480499185,11.853934475246708,0.0006461313468933017,ARE1995,ARE,1995,12,8
108,0.40906458107510746,0.5536811248676548,0.6895380880530241,21412.80518594512,2314632.8516928186,0.15722086501348553,0.17167909538479953,0.17661426069022174,11.610044575334545,12.136235478472273,0.00047225671313716206,ARE2000,ARE,2000,12,9
109,0.2168092382452243,0.3822367647731878,0.47891870896456734,22134.255311562814,3312399.4730895814,0.15542450466728566,0.17459043601988242,0.17813596782613703,12.859088213577609,13.478864612490892,0.000269742672503434,ARE2005,ARE,2005,12,10
110,0.019087909362740442,0.14168221183268714,0.19000096767109373,14518.115046110579,3105665.4502944816,0.11090153997314504,0.13437301427510243,0.13810010481712398,9.036643606077686,9.473665244400726,0.00013197906830006355,ARE2010,ARE,2010,12,11
111,,,,,,,,,,,,ARE2015,ARE,2015,12,12
112,-0.4548776050733226,-0.43956122587399593,-0.6139020300428855,924.4416149298387,18682460.7828085,0.0005693681857571367,0.0014906919984597757,0.01996165992747396,,,,ARG1960,ARG,1960,12,1
113,-0.5496250831586366,-0.48509677449459,-0.7050063663908429,1049.9724041605427,19882573.749362785,0.0004071918711658124,0.0011639973157660606,0.019016586701971382,,,,ARG1965,ARG,1965,12,2
114,-0.458064538739822,-0.49217458713128986,-0.7046029757646065,1535.834408926465,21171254.012032326,0.00019479976190963453,0.0018972492529001485,0.019658794557349712,0.5599695773050081,0.6885880616145024,,ARG1970,ARG,1970,12,3
115,-0.5659501407333324,-0.6033034617074984,-0.7528307426510552,1791.349840597318,22524331.01161017,0.0005165790984138926,0.0023706898377837964,0.023651344441056262,2.3352513032746796,2.5705224716294643,,ARG1975,ARG,1975,12,4
116,-0.6457455717975537,-0.6249646634452247,-0.5875752016873939,2386.0451776381033,23739229.820046175,0.005295317750216925,0.009980111079427156,0.037059997898648944,3.371210258872496,3.6775781528124583,1.428889773359881e-05,ARG1980,ARG,1980,12,5
117,-0.5224298924232074,-0.5508338689445088,-0.6044096251197166,2602.2403029586667,24859313.686541513,0.002866162414205029,0.009664087368215855,0.024089586001434248,1.5525529544396381,1.892589845187095,1.2242737706366398e-05,ARG1985,ARG,1985,12,6
118,-0.19460408638545326,-0.2732062797768799,-0.2279189718125407,4750.296809158576,25598093.67208889,0.004473283204499475,0.007698020238056881,0.016124076909166132,0.9116390973809791,1.0923035997159531,1.357077852374746e-05,ARG1990,ARG,1990,12,7
119,-0.24182606444982138,-0.31664823745169707,-0.21653031106218124,5611.965094351089,25636161.304941986,0.0073227278962973465,0.010414177897154007,0.01985384396683842,0.7901043363331871,0.9553017238687037,1.711143060434372e-05,ARG1995,ARG,1995,12,8
120,-0.17048724413033997,-0.18569137626282772,-0.04199575906868814,3247.7476558377753,24611109.07585478,0.02006446312065997,0.02775750916094742,0.042536852038369315,2.1156969445831155,2.5974010384942186,1.4623653011017583e-05,ARG2000,ARG,2000,12,9
121,-0.17205623223252284,-0.18953948826967276,-0.15790950139167634,3839.0502992884967,21757608.752470776,0.01271523970529032,0.018894702821479786,0.03131270858575692,2.10400397584615,2.7454834422589194,1.0851050849754061e-05,ARG2005,ARG,2005,12,10
122,-0.10783251131329298,-0.11079306083011504,-0.08248948419245575,4327.123603007969,14884523.285632769,0.0033274347538155865,0.006012829342189425,0.012942840460075532,0.8653307414747686,1.2410901404056274,6.214642917236707e-06,ARG2010,ARG,2010,12,11
123,,,,,,,,,,,,ARG2015,ARG,2015,12,12
124,,,,,1763657.48622698,,,,,,,ARM1960,ARM,1960,12,1
125,,,,,2026634.3134961477,,,,,,,ARM1965,ARM,1965,12,2
