,res_rents,map
257,3.82861525583236,EAS1981
258,3.39044786355367,EAS1982
259,2.9873359608552903,EAS1983
260,2.6030251954304,EAS1984
261,2.5992548833077795,EAS1985
262,1.3077890284775702,EAS1986
263,1.26731479843882,EAS1987
264,1.17849856269417,EAS1988
265,1.34389892376257,EAS1989
266,1.52458376380268,EAS1990
267,1.01052592318167,EAS1991
268,0.9415556708442908,EAS1992
269,0.78297631372126,EAS1993
270,0.69800409504943,EAS1994
271,0.742080317493444,EAS1995
272,0.8492422735783629,EAS1996
273,0.7814258080005041,EAS1997
274,0.613020439871221,EAS1998
275,0.618631230290567,EAS1999
276,1.00461601092059,EAS2000
277,1.0351692280075402,EAS2001
278,0.933291274690087,EAS2002
279,1.04635907672086,EAS2003
280,1.80173001322636,EAS2004
281,2.21323159313836,EAS2005
282,2.74149102518134,EAS2006
283,3.40075529346462,EAS2007
284,5.05984803065707,EAS2008
285,2.51332131764118,EAS2009
286,3.72710289264862,EAS2010
287,4.761607846712,EAS2011
288,2.99891075078175,EAS2012
289,2.63365723963165,EAS2013
290,2.2834880987632005,EAS2014
291,1.45031628151001,EAS2015
292,1.3108762692675902,EAS2016
293,1.5666022329068,EAS2017
294,,EAS2018
295,,EAP1960
296,,EAP1961
297,,EAP1962
298,,EAP1963
299,,EAP1964
300,,EAP1965
301,,EAP1966
302,,EAP1967
303,,EAP1968
304,,EAP1969
305,1.81989384325911,EAP1970
306,1.87922352756825,EAP1971
307,2.57067744287877,EAP1972
308,4.40992120670745,EAP1973
309,7.71283444089756,EAP1974
310,8.873510312504221,EAP1975
311,10.3967979539517,EAP1976
312,10.9671723641239,EAP1977
313,11.2387575674559,EAP1978
314,18.6319180607915,EAP1979
315,19.242038994607398,EAP1980
316,16.284355704839,EAP1981
317,13.3365242327214,EAP1982
318,11.9456881738998,EAP1983
319,10.064011874790198,EAP1984
320,9.396461628269462,EAP1985
321,6.12805919154142,EAP1986
322,7.22621399170359,EAP1987
323,6.79506043406676,EAP1988
324,7.8906027773945,EAP1989
325,8.75598038288883,EAP1990
326,6.02145544949807,EAP1991
327,5.575053116977268,EAP1992
328,4.7282203408136105,EAP1993
329,3.9218126203809,EAP1994
330,3.8918678734784704,EAP1995
331,3.7126023854595,EAP1996
332,3.112578324236189,EAP1997
333,2.27690298871348,EAP1998
334,2.37721127944067,EAP1999
335,3.8011303875264,EAP2000
336,3.4412745806546803,EAP2001
337,2.8226859860029703,EAP2002
338,3.14918175937852,EAP2003
339,5.44295239914134,EAP2004
340,5.94946029061196,EAP2005
341,6.472174325342982,EAP2006
342,7.08327764224968,EAP2007
343,9.87934530205623,EAP2008
344,4.54648249556804,EAP2009
345,6.468039963586,EAP2010
346,8.02406837330293,EAP2011
347,4.67426815706831,EAP2012
348,3.61745390159894,EAP2013
349,3.00702083754614,EAP2014
350,1.79929205387417,EAP2015
351,1.5988825768177,EAP2016
352,1.8594995663449496,EAP2017
353,,EAP2018
354,,TEA1960
355,,TEA1961
356,,TEA1962
357,,TEA1963
358,,TEA1964
359,,TEA1965
360,,TEA1966
361,,TEA1967
362,,TEA1968
363,,TEA1969
364,1.81989384325911,TEA1970
365,1.87922352756825,TEA1971
366,2.57067744287877,TEA1972
367,4.40992120670745,TEA1973
368,7.71283444089756,TEA1974
369,8.873510312504221,TEA1975
370,10.3967979539517,TEA1976
371,10.9671723641239,TEA1977
372,11.2387575674559,TEA1978
373,18.6319180607915,TEA1979
374,19.242038994607398,TEA1980
375,16.284355704839,TEA1981
376,13.3365242327215,TEA1982
377,11.9456881738998,TEA1983
378,10.064011874790198,TEA1984
379,9.396461628269462,TEA1985
380,6.12805919154142,TEA1986
381,7.22621399170359,TEA1987
382,6.79506043406676,TEA1988
383,7.8906027773945,TEA1989
384,8.75598038288883,TEA1990
385,6.02145544949807,TEA1991
386,5.575053116977268,TEA1992
387,4.7282203408136105,TEA1993
388,3.9218126203809,TEA1994
389,3.8918678734784704,TEA1995
390,3.7126023854595,TEA1996
391,3.112578324236189,TEA1997
392,2.27690298871348,TEA1998
393,2.37721127944067,TEA1999
394,3.8010639896765297,TEA2000
395,3.4412123312082006,TEA2001
396,2.8233394962979705,TEA2002
397,3.14983979646805,TEA2003
398,5.44394055035418,TEA2004
399,5.950350821857799,TEA2005
400,6.47293976252988,TEA2006
401,7.08394487511978,TEA2007
402,9.88018158388887,TEA2008
403,4.5469106300688,TEA2009
404,6.46845361145679,TEA2010
405,8.02448874340444,TEA2011
406,4.67452207310809,TEA2012
407,3.61762777055421,TEA2013
408,3.0071543339748903,TEA2014
409,1.79936715764502,TEA2015
410,1.59894495596646,TEA2016
411,1.85956595119927,TEA2017
412,,TEA2018
413,,EMU1960
414,,EMU1961
415,,EMU1962
416,,EMU1963
417,,EMU1964
418,,EMU1965
419,,EMU1966
420,,EMU1967
421,,EMU1968
422,,EMU1969
423,0.20341899621093,EMU1970
424,0.191314943203234,EMU1971
425,0.173811692679209,EMU1972
426,0.21375006018198006,EMU1973
427,0.348201533700893,EMU1974
428,0.4840837223367979,EMU1975
429,0.51566509342962,EMU1976
430,0.4408786711012229,EMU1977
431,0.35503223542599,EMU1978
432,0.430531762098458,EMU1979
433,0.5064689897571321,EMU1980
434,0.567589038940911,EMU1981
435,0.4935467204186,EMU1982
436,0.464874195863748,EMU1983
437,0.416702676407352,EMU1984
438,0.43352345834904893,EMU1985
439,0.228928900919128,EMU1986
440,0.152975268083743,EMU1987
441,0.16158654404111095,EMU1988
442,0.193874358705028,EMU1989
443,0.19235253583582104,EMU1990
444,0.123731998602056,EMU1991
445,0.0947138928129848,EMU1992
446,0.098934192462654,EMU1993
447,0.0869333832073882,EMU1994
448,0.09042579454919597,EMU1995
449,0.099590481516902,EMU1996
450,0.0925853080815625,EMU1997
451,0.0613143385359557,EMU1998
452,0.0603465864854608,EMU1999
453,0.126565368831941,EMU2000
454,0.164765353256711,EMU2001
455,0.13286185723834698,EMU2002
456,0.119655559932957,EMU2003
457,0.127194569201879,EMU2004
458,0.127411301242187,EMU2005
459,0.176877774837779,EMU2006
460,0.180033122538073,EMU2007
461,0.24843891328647896,EMU2008
462,0.16798115871548194,EMU2009
463,0.19351089883001305,EMU2010
464,0.23980831357080604,EMU2011
465,0.23156089053435105,EMU2012
466,0.20571172566726895,EMU2013
467,0.161215764281451,EMU2014
468,0.11451573851590803,EMU2015
469,0.093170595097653,EMU2016
470,0.11168275956257598,EMU2017
471,,EMU2018
472,,ECS1960
473,,ECS1961
474,,ECS1962
475,,ECS1963
476,,ECS1964
477,,ECS1965
478,,ECS1966
479,,ECS1967
480,,ECS1968
481,,ECS1969
482,0.221138332918614,ECS1970
483,0.20710910866697896,ECS1971
484,0.185532742375338,ECS1972
485,0.23938799572188,ECS1973
486,0.3871566281596621,ECS1974
487,0.5338622175811111,ECS1975
488,0.5981517059759449,ECS1976
489,0.5643433175334929,ECS1977
490,0.4958028579185461,ECS1978
491,0.7694845983614409,ECS1979
492,0.89228090039388,ECS1980
493,0.9326693205382952,ECS1981
494,0.733841351992348,ECS1982
495,0.853783280679269,ECS1983
496,0.885464616017451,ECS1984
497,0.9191500292903342,ECS1985
498,0.39803949197844296,ECS1986
499,0.435088047684943,ECS1987
500,0.83235575659358,ECS1988
501,1.14091199092027,ECS1989
502,1.34812759935865,ECS1990
503,0.75919060580089,ECS1991
504,0.692108765465595,ECS1992
505,0.6802934124081179,ECS1993
506,0.5707571956030301,ECS1994
507,0.571661046252634,ECS1995
508,0.7123187918859201,ECS1996
509,0.633191611497115,ECS1997
510,0.24110420801897306,ECS1998
511,0.46128804534976,ECS1999
512,1.22514025434539,ECS2000
513,1.26174451126406,ECS2001
514,1.11756889060234,ECS2002
515,1.10228766113447,ECS2003
516,1.25155044061546,ECS2004
517,1.55988075860679,ECS2005
518,1.95624198504359,ECS2006
519,1.92583883577598,ECS2007
520,2.58327781713689,ECS2008
521,1.69943638924501,ECS2009
522,2.12676407543425,ECS2010
523,2.8036434957977905,ECS2011
524,2.71164566624532,ECS2012
525,2.36213722293918,ECS2013
526,1.96794507020105,ECS2014
527,1.21350793755994,ECS2015
528,0.9874815136620052,ECS2016
529,1.3627904183834298,ECS2017
530,,ECS2018
531,,ECA1960
532,,ECA1961
533,,ECA1962
534,,ECA1963
535,,ECA1964
536,,ECA1965
537,,ECA1966
538,,ECA1967
539,,ECA1968
540,,ECA1969
541,0.6732895305096249,ECA1970
542,0.6278486365289571,ECA1971
543,0.542084873649732,ECA1972
