,gdp,map
450,292859000000.0,ARG1997
451,298948250000.0,ARG1998
452,283523000000.0,ARG1999
453,284203750000.0,ARG2000
454,268696750000.0,ARG2001
455,97724004251.8602,ARG2002
456,127586973492.17699,ARG2003
457,164657930452.787,ARG2004
458,198737095012.28198,ARG2005
459,232557260817.308,ARG2006
460,287530508430.568,ARG2007
461,361558037110.419,ARG2008
462,332976484577.61896,ARG2009
463,423627422092.49,ARG2010
464,530163281574.65796,ARG2011
465,545982375701.128,ARG2012
466,552025140252.246,ARG2013
467,526319673731.63794,ARG2014
468,594749285413.212,ARG2015
469,554860945013.62,ARG2016
470,637430331479.469,ARG2017
471,,ARG2018
472,,ARM1960
473,,ARM1961
474,,ARM1962
475,,ARM1963
476,,ARM1964
477,,ARM1965
478,,ARM1966
479,,ARM1967
480,,ARM1968
481,,ARM1969
482,,ARM1970
483,,ARM1971
484,,ARM1972
485,,ARM1973
486,,ARM1974
487,,ARM1975
488,,ARM1976
489,,ARM1977
490,,ARM1978
491,,ARM1979
492,,ARM1980
493,,ARM1981
494,,ARM1982
495,,ARM1983
496,,ARM1984
497,,ARM1985
498,,ARM1986
499,,ARM1987
500,,ARM1988
501,,ARM1989
502,2256838858.4271398,ARM1990
503,2068526521.9029899,ARM1991
504,1272577456.12712,ARM1992
505,1201313201.0127199,ARM1993
506,1315158670.28285,ARM1994
507,1468317350.06841,ARM1995
508,1596968913.27897,ARM1996
509,1639492424.3647199,ARM1997
510,1893726437.2646198,ARM1998
511,1845482181.4480102,ARM1999
512,1911563665.3900602,ARM2000
513,2118467913.37873,ARM2001
514,2376335048.3997602,ARM2002
515,2807061008.69084,ARM2003
516,3576615240.41616,ARM2004
517,4900469950.09033,ARM2005
518,6384451606.1421,ARM2006
519,9206301700.39619,ARM2007
520,11662040713.8753,ARM2008
521,8647936747.987041,ARM2009
522,9260284937.797821,ARM2010
523,10142111334.4961,ARM2011
524,10619320048.5857,ARM2012
525,11121465767.4067,ARM2013
526,11609512939.7543,ARM2014
527,10553337672.9872,ARM2015
528,10546135160.031,ARM2016
529,11536590635.8268,ARM2017
530,,ARM2018
531,,ASM1960
532,,ASM1961
533,,ASM1962
534,,ASM1963
535,,ASM1964
536,,ASM1965
537,,ASM1966
538,,ASM1967
539,,ASM1968
540,,ASM1969
541,,ASM1970
542,,ASM1971
543,,ASM1972
544,,ASM1973
545,,ASM1974
546,,ASM1975
547,,ASM1976
548,,ASM1977
549,,ASM1978
550,,ASM1979
551,,ASM1980
552,,ASM1981
553,,ASM1982
554,,ASM1983
555,,ASM1984
556,,ASM1985
557,,ASM1986
558,,ASM1987
559,,ASM1988
560,,ASM1989
561,,ASM1990
562,,ASM1991
563,,ASM1992
564,,ASM1993
565,,ASM1994
566,,ASM1995
567,,ASM1996
568,,ASM1997
569,,ASM1998
570,,ASM1999
571,,ASM2000
572,,ASM2001
573,514000000.0,ASM2002
574,527000000.0,ASM2003
575,512000000.0,ASM2004
576,503000000.0,ASM2005
577,496000000.0,ASM2006
578,520000000.0,ASM2007
579,563000000.0,ASM2008
580,678000000.0,ASM2009
581,576000000.0,ASM2010
582,574000000.0,ASM2011
583,644000000.0,ASM2012
584,641000000.0,ASM2013
585,643000000.0,ASM2014
586,661000000.0,ASM2015
587,653000000.0,ASM2016
588,634000000.0,ASM2017
589,,ASM2018
590,,ATG1960
591,,ATG1961
592,,ATG1962
593,,ATG1963
594,,ATG1964
595,,ATG1965
596,,ATG1966
597,,ATG1967
598,,ATG1968
599,,ATG1969
600,,ATG1970
601,,ATG1971
602,,ATG1972
603,,ATG1973
604,,ATG1974
605,,ATG1975
606,,ATG1976
607,77496753.7037037,ATG1977
608,87879341.48148149,ATG1978
609,109079978.888889,ATG1979
610,131431026.666667,ATG1980
611,147841734.444444,ATG1981
612,164369278.88888898,ATG1982
613,182144092.96296299,ATG1983
614,208372846.296296,ATG1984
615,240923924.81481498,ATG1985
616,290440140.740741,ATG1986
617,337174861.851852,ATG1987
618,398637727.77777797,ATG1988
619,438794788.518519,ATG1989
620,459469058.88888896,ATG1990
621,481706342.222222,ATG1991
622,499281144.07407403,ATG1992
623,535172767.40740705,ATG1993
624,589429609.62963,ATG1994
625,577280726.666667,ATG1995
626,633730647.037037,ATG1996
627,680617122.592593,ATG1997
628,727860577.777778,ATG1998
629,766198910.0,ATG1999
630,830158768.888889,ATG2000
631,800740257.407407,ATG2001
632,814615323.703704,ATG2002
633,855643099.62963,ATG2003
634,919577142.592592,ATG2004
635,1022191294.07407,ATG2005
636,1157005441.4814801,ATG2006
637,1311401318.88889,ATG2007
638,1368431043.3333302,ATG2008
639,1224253013.7037,ATG2009
640,1152469068.5185199,ATG2010
641,1142042915.5555599,ATG2011
642,1211411704.4444401,ATG2012
643,1192919619.25926,ATG2013
644,1275576784.4444401,ATG2014
645,1359194737.40741,ATG2015
646,1464630213.3333302,ATG2016
647,1510084750.74074,ATG2017
648,,ATG2018
649,18573188486.9526,AUS1960
650,19648336879.8298,AUS1961
651,19888005375.742,AUS1962
652,21501847911.3003,AUS1963
653,23758539590.0997,AUS1964
654,25931235300.7056,AUS1965
655,27261731436.891003,AUS1966
656,30389741292.418,AUS1967
657,32657632433.6432,AUS1968
658,36620002239.8925,AUS1969
659,41261059469.1455,AUS1970
660,45138313360.9587,AUS1971
661,51954439252.3364,AUS1972
662,63721973094.1704,AUS1973
663,88809137803.9794,AUS1974
664,97147343984.7057,AUS1975
665,104894743476.61699,AUS1976
666,110174351915.577,AUS1977
667,118309271373.78699,AUS1978
668,134679086674.997,AUS1979
669,149738161559.889,AUS1980
670,176599326599.327,AUS1981
671,193721725697.893,AUS1982
672,176986429574.16898,AUS1983
673,193194167723.23898,AUS1984
674,180190994860.781,AUS1985
675,181977476217.124,AUS1986
676,189041159343.568,AUS1987
677,235699941792.78198,AUS1988
678,299317645142.904,AUS1989
679,310838014621.008,AUS1990
680,325358292127.776,AUS1991
681,324878105052.68,AUS1992
682,311528948847.667,AUS1993
683,322201314424.075,AUS1994
684,367216364716.365,AUS1995
685,400302731411.229,AUS1996
686,434568007512.91296,AUS1997
687,398899138574.239,AUS1998
688,388395162301.04,AUS1999
689,415034227218.489,AUS2000
690,378215090694.43,AUS2001
691,394486709920.469,AUS2002
692,466294700058.241,AUS2003
693,611904253805.662,AUS2004
694,692641708013.833,AUS2005
695,745521862833.1841,AUS2006
696,851962785585.303,AUS2007
697,1052584601611.46,AUS2008
698,926448240318.068,AUS2009
699,1144260547872.81,AUS2010
700,1394280784777.68,AUS2011
701,1543411012579.91,AUS2012
702,1573696522006.77,AUS2013
703,1464955475993.76,AUS2014
704,1349034029453.37,AUS2015
705,1208039015868.39,AUS2016
706,1323421072479.07,AUS2017
707,,AUS2018
708,6592693841.18495,AUT1960
709,7311749633.36229,AUT1961
710,7756110210.119659,AUT1962
711,8374175257.73075,AUT1963
712,9169983885.71185,AUT1964
713,9994070615.85997,AUT1965
714,10887682273.1014,AUT1966
715,11579431668.9165,AUT1967
716,12440625312.8685,AUT1968
717,13582798556.2404,AUT1969
718,15373005768.7219,AUT1970
719,17858485956.6031,AUT1971
720,22059612417.4058,AUT1972
721,29515467987.912003,AUT1973
722,35189299985.2768,AUT1974
723,40059206763.056,AUT1975
724,42959976068.1138,AUT1976
725,51545759220.7143,AUT1977
726,62052258694.2102,AUT1978
727,73937296654.6577,AUT1979
728,82058912465.4329,AUT1980
729,71034228097.4598,AUT1981
730,71275287327.5793,AUT1982
731,72121016623.2572,AUT1983
732,67985345161.9558,AUT1984
733,69386774474.5943,AUT1985
734,99036165209.5539,AUT1986
735,124168442860.253,AUT1987
736,133339397080.129,AUT1988
737,133105805928.237,AUT1989
738,166463386663.439,AUT1990
739,173794177725.398,AUT1991
740,195078126346.10602,AUT1992
741,190379720927.48102,AUT1993
742,203535242741.838,AUT1994
743,241038283062.645,AUT1995
744,237250948791.26602,AUT1996
745,212790348404.555,AUT1997
746,218259904401.95602,AUT1998
747,217185787342.851,AUT1999
748,196799778883.36102,AUT2000
749,197337879194.631,AUT2001
750,213377771503.858,AUT2002
751,261695778781.038,AUT2003
752,300904221504.842,AUT2004
753,315974418604.651,AUT2005
754,335998557270.104,AUT2006
755,388691445387.35297,AUT2007
756,430294287388.31104,AUT2008
757,400172297860.517,AUT2009
758,391892746544.69,AUT2010
759,431120310088.82,AUT2011
760,409425234155.26294,AUT2012
761,430068712971.867,AUT2013
762,441996131736.508,AUT2014
763,381805676697.70703,AUT2015
764,394052818287.78796,AUT2016
765,416835975862.193,AUT2017
766,,AUT2018
767,,AZE1960
768,,AZE1961
769,,AZE1962
770,,AZE1963
771,,AZE1964
772,,AZE1965
773,,AZE1966
774,,AZE1967
775,,AZE1968
776,,AZE1969
777,,AZE1970
778,,AZE1971
779,,AZE1972
780,,AZE1973
781,,AZE1974
782,,AZE1975
783,,AZE1976
784,,AZE1977
785,,AZE1978
786,,AZE1979
787,,AZE1980
788,,AZE1981
789,,AZE1982
790,,AZE1983
791,,AZE1984
792,,AZE1985
793,,AZE1986
794,,AZE1987
795,,AZE1988
796,,AZE1989
797,9063444102.23294,AZE1990
798,8226390167.01853,AZE1991
799,4970536336.63285,AZE1992
800,3970953395.51544,AZE1993
801,3313939553.5418,AZE1994
802,3052467522.3610396,AZE1995
803,3176703092.30412,AZE1996
804,3962735257.21455,AZE1997
805,4446370371.150229,AZE1998
806,4581246713.320661,AZE1999
807,5272617196.045171,AZE2000
808,5707720390.8515,AZE2001
809,6235856819.58445,AZE2002
810,7276013031.96905,AZE2003
811,8680370408.05943,AZE2004
812,13245716099.0057,AZE2005
813,20982986344.3027,AZE2006
814,33050343782.7759,AZE2007
815,48852482960.0779,AZE2008
816,44291490420.5026,AZE2009
817,52902703376.1056,AZE2010
818,65951627200.2026,AZE2011
819,69683935845.2138,AZE2012
820,74164435946.4627,AZE2013
821,75244294275.1498,AZE2014
822,53074370486.0433,AZE2015
823,37867518957.1975,AZE2016
824,40747792237.9735,AZE2017
825,,AZE2018
826,195999990.0,BDI1960
827,202999992.0,BDI1961
828,213500006.0,BDI1962
829,232749998.0,BDI1963
830,260750008.0,BDI1964
831,158994962.96296299,BDI1965
832,165444571.428571,BDI1966
833,178297142.85714298,BDI1967
834,183200000.0,BDI1968
835,190205714.285714,BDI1969
836,242732571.428571,BDI1970
837,252842285.714286,BDI1971
