,eci1,res_exp1_to_gdp,gdp_pc,population,eci1_t1,eci1_hat_t1,t,code
1467,0.880250202303596,0.026553280505741576,11816.0484232659,45429.66055653715,0.42437334072924265,0.37172673707626,5,BMU
1468,1.0955510501331271,0.004981171861159271,17601.653587329933,45918.08465243918,0.880250202303596,0.35037777487518346,6,BMU
1469,0.4713557921394769,0.005172338178933462,22150.549812403468,44908.98965108748,1.0955510501331271,0.6152400689624442,7,BMU
1470,0.4263246250219831,0.002293504328746561,33331.737326985516,43304.586879451934,0.4713557921394769,0.7403288402550425,8,BMU
1471,0.3460367704011131,0.0009217353526065817,40818.670577757795,40830.586314765314,0.4263246250219831,0.37767435627960794,9,BMU
1472,-0.138243198313086,0.006811010010723142,47107.865997074834,35324.254879992404,0.3460367704011131,0.3515114617931965,10,BMU
1473,-0.12527051441316664,0.0060122764918125035,30528.18683895249,22954.524594946426,-0.138243198313086,0.3048645991101696,11,BMU
1476,-0.6984550064562969,0.027941692814791537,243.0263524591678,4013806.194148098,-0.4800392001223906,-0.4763599534171133,3,BOL
1477,-0.6582099293978632,0.03304880913154292,526.4937175414851,4388413.547061048,-0.6984550064562969,-0.5217780581376499,4,BOL
1478,-0.6523366257951959,0.05231334640588786,772.5326501391459,4776989.98127962,-0.6582099293978632,-0.5676683067849685,5,BOL
1479,-0.6929195992438799,0.04977904145307537,564.6780252722118,5131160.782664123,-0.6523366257951959,-0.5592126156697449,6,BOL
1480,-0.34722127597663016,0.021702050246765213,587.2941585950592,5427498.148346079,-0.6929195992438799,-0.5579786053330774,7,BOL
1481,-0.5675706430317005,0.009275100115992896,704.6849167746058,5633313.963059598,-0.34722127597663016,-0.5665052901626567,8,BOL
1482,-0.4876300461366908,0.033702351239368385,620.227578126263,5620599.224028748,-0.5675706430317005,-0.4938723508256444,9,BOL
1483,-0.4692712171509577,0.08582604963126869,782.0344553043277,5139442.083298003,-0.4876300461366908,-0.5401688502098408,10,BOL
1484,-0.2727790712071792,0.06718611585063676,924.6146285140455,3620246.1468470236,-0.4692712171509577,-0.5233729326885659,11,BOL
1487,-0.5797705980638825,0.0006631967051271903,564.4585718162701,85527157.14583994,-0.8153899743109619,-0.6433074891767976,3,BRA
1488,-0.6146059155374453,0.0008977043532387883,1296.3191196012579,94635122.79485936,-0.5797705980638825,-0.6038048193137031,4,BRA
1489,-0.26911224609140083,0.003368303654355267,1542.5068042455946,103918623.8061063,-0.6146059155374453,-0.4295489689540001,5,BRA
1490,0.2059748458210852,0.0029810644945861852,1723.0673686541788,112073341.16804302,-0.26911224609140083,-0.4553119514624522,6,BRA
1491,0.1302034539209398,0.0010778732885506242,2424.043852462265,117567247.99378496,0.2059748458210852,-0.19979691648467465,7,BRA
1492,0.0155948655971017,0.0004986791132854387,3393.596230123511,119879713.63005006,0.1302034539209398,0.15156088148061403,8,BRA
1493,-0.0737353212740026,0.003376401462149679,2128.9090595704124,116966675.1342937,0.0155948655971017,0.09552300998293063,9,BRA
1494,-0.041283695422327536,0.00521618552448103,3841.331122949733,103948880.27197523,-0.0737353212740026,0.010762506262926852,10,BRA
1495,-0.11840502636207005,0.0033706624306758066,4308.16245176945,70899171.92686905,-0.041283695422327536,-0.0553029758037604,11,BRA
1498,0.7847492553974373,0.002880783708017349,1088.6912908546476,206254.2034861262,0.13661606531190318,-0.04316450946782335,3,BRB
1499,0.7426616299049575,0.0006512837221743362,1720.774762535677,208418.79142134933,0.7847492553974373,0.1114813245573926,4,BRB
1500,0.1482652176614304,0.0014241735718826991,3219.1225868136157,207703.65767509886,0.7426616299049575,0.4965203824918943,5,BRB
1501,-0.4236132598311531,0.002158958204267417,4437.290574030084,204461.70830615802,0.1482652176614304,0.4715172196879868,6,BRB
1502,-0.2309901347122858,0.0012472346132604908,5906.227987450759,199452.71288004168,-0.4236132598311531,0.11840178275180399,7,BRB
1503,-0.25366496976417663,0.0018806687559296813,7024.372159020095,191009.29144272406,-0.2309901347122858,-0.2213363352694352,8,BRB
1504,-0.2284002437800997,0.023241165140062525,7749.3102597801735,176326.10640831626,-0.25366496976417663,-0.10690395043449036,9,BRB
1505,-0.06923737479365441,0.008298544619099473,8672.176802250033,150342.82184075168,-0.2284002437800997,-0.12037447973425985,10,BRB
1506,-0.0164209604939159,0.009317779711533771,5793.926995444685,99535.81534304623,-0.06923737479365441,-0.10536536364409556,11,BRB
1509,0.5107260684486709,0.5780364841447292,2489.7545897824757,121421.19739718086,0.5073644117044798,0.24091770514288344,3,BRN
1510,0.5493831236198778,0.7532984151871959,8590.508474442273,146421.34495187565,0.5107260684486709,0.6064110207290927,4,BRN
1511,1.0507104633963076,0.6279708228706944,16922.888945014183,168694.3771846032,0.5493831236198778,0.6079783356268841,5,BRN
1512,1.3664761318639564,0.5115344220429311,9582.20316935703,188720.9678738307,1.0507104633963076,0.6260015257039991,6,BRN
1513,1.2722262301371845,0.412763771138182,10873.185151888165,208484.20141783726,1.3664761318639564,0.859736814013675,7,BRN
1514,1.2751022137619286,0.2950706318224209,10899.548670913377,223168.88619726535,1.2722262301371845,1.0069571503123047,8,BRN
1515,-0.17960720852066486,0.34438150519889504,11921.892448253926,225141.10053581253,1.2751022137619286,0.9630147474042771,9,BRN
