,gdp_cons,map
329,1079770953821.51,ARB1994
330,1109450059762.36,ARB1995
331,1160437584609.65,ARB1996
332,1209839288834.17,ARB1997
333,1273560279956.92,ARB1998
334,1296437328261.59,ARB1999
335,1367485447007.27,ARB2000
336,1389548851737.01,ARB2001
337,1397692270399.23,ARB2002
338,1472046968068.46,ARB2003
339,1609590066888.94,ARB2004
340,1701597742064.42,ARB2005
341,1812137004795.84,ARB2006
342,1894974730074.78,ARB2007
343,2005245039603.88,ARB2008
344,2013827767569.55,ARB2009
345,2109932335481.52,ARB2010
346,2186504956888.03,ARB2011
347,2332090621011.04,ARB2012
348,2405942174913.6,ARB2013
349,2465047433852.59,ARB2014
350,2546486899169.79,ARB2015
351,2628981955074.46,ARB2016
352,2654934635561.74,ARB2017
353,,ARB2018
354,,ARE1960
355,,ARE1961
356,,ARE1962
357,,ARE1963
358,,ARE1964
359,,ARE1965
360,,ARE1966
361,,ARE1967
362,,ARE1968
363,,ARE1969
364,,ARE1970
365,,ARE1971
366,,ARE1972
367,,ARE1973
368,,ARE1974
369,56806673982.3009,ARE1975
370,66195031477.1953,ARE1976
371,80386802831.8584,ARE1977
372,79108971545.2688,ARE1978
373,95661395017.0183,ARE1979
374,118500337753.574,ARE1980
375,124021477848.877,ARE1981
376,115688082614.02301,ARE1982
377,110197733641.93301,ARE1983
378,114624322913.547,ARE1984
379,110504178543.22699,ARE1985
380,93974812607.2158,ARE1986
381,97153023580.6671,ARE1987
382,94608675561.6065,ARE1988
383,106281391095.98401,ARE1989
384,125760629081.00699,ARE1990
385,126842273546.63,ARE1991
386,131085077658.271,ARE1992
387,132738310796.46,ARE1993
388,141892141892.444,ARE1994
389,151381727243.022,ARE1995
390,160159451463.581,ARE1996
391,173277148999.319,ARE1997
392,173783108481.96,ARE1998
393,178826665568.41397,ARE1999
394,198234194635.807,ARE2000
395,201007659577.94397,ARE2001
396,205899094159.292,ARE2002
397,224019327978.216,ARE2003
398,245449995044.24802,ARE2004
399,257366938869.98,ARE2005
400,282684947637.849,ARE2006
401,291686739332.87897,ARE2007
402,300996902491.491,ARE2008
403,285215869952.349,ARE2009
404,289787338325.391,ARE2010
405,309870388019.06104,ARE2011
406,323766916269.57104,ARE2012
407,340127978216.474,ARE2013
408,355089176310.415,ARE2014
409,373073383253.914,ARE2015
410,384222464261.40204,ARE2016
411,387259360108.91797,ARE2017
412,,ARE2018
413,115573868508.15,ARG1960
414,121847036500.547,ARG1961
415,120808873523.83699,ARG1962
416,114396100733.294,ARG1963
417,125984766250.65,ARG1964
418,139300642138.499,ARG1965
419,138381639345.114,ARG1966
420,142798776600.374,ARG1967
421,149685248718.023,ARG1968
422,164174071297.927,ARG1969
423,169174227931.948,ARG1970
424,178746327507.29602,ARG1971
425,181657062226.624,ARG1972
426,186764812014.466,ARG1973
427,197100011389.72302,ARG1974
428,197044011131.933,ARG1975
429,193067167388.744,ARG1976
430,206454730042.60602,ARG1977
431,197151622246.26898,ARG1978
432,217305966255.665,ARG1979
433,220606374392.254,ARG1980
434,209157368731.779,ARG1981
435,207618683386.485,ARG1982
436,216648213592.787,ARG1983
437,220051190931.379,ARG1984
438,208632681046.742,ARG1985
439,221470636587.663,ARG1986
440,227461126795.48602,ARG1987
441,224981952135.064,ARG1988
442,208880107086.685,ARG1989
443,203726588308.536,ARG1990
444,222333162871.504,ARG1991
445,239980394235.249,ARG1992
446,259675534967.54898,ARG1993
447,274830720366.62302,ARG1994
448,267011210297.95102,ARG1995
449,281768091694.844,ARG1996
450,304622433397.25104,ARG1997
451,316350941905.026,ARG1998
452,305641016669.195,ARG1999
453,303229512290.352,ARG2000
454,289860609223.18396,ARG2001
455,258281789127.305,ARG2002
456,281106256200.528,ARG2003
457,306488951656.956,ARG2004
458,333618311350.415,ARG2005
459,360465082297.96,ARG2006
460,392934518437.813,ARG2007
461,408876787794.80896,ARG2008
462,384677312577.801,ARG2009
463,423627422092.49,ARG2010
464,449061807872.401,ARG2011
465,444452545623.356,ARG2012
466,455143068397.581,ARG2013
467,443707073929.401,ARG2014
468,455825423287.839,ARG2015
469,447517812725.52,ARG2016
470,460292057147.949,ARG2017
471,,ARG2018
472,,ARM1960
473,,ARM1961
474,,ARM1962
475,,ARM1963
476,,ARM1964
477,,ARM1965
478,,ARM1966
479,,ARM1967
480,,ARM1968
481,,ARM1969
482,,ARM1970
483,,ARM1971
484,,ARM1972
485,,ARM1973
486,,ARM1974
487,,ARM1975
488,,ARM1976
489,,ARM1977
490,,ARM1978
491,,ARM1979
492,,ARM1980
493,,ARM1981
494,,ARM1982
495,,ARM1983
496,,ARM1984
497,,ARM1985
498,,ARM1986
499,,ARM1987
500,,ARM1988
501,,ARM1989
502,6357857589.72256,ARM1990
503,5613988348.08605,ARM1991
504,3267341064.5507603,ARM1992
505,2979815090.27954,ARM1993
506,3140725187.90154,ARM1994
507,3357435176.1386104,ARM1995
508,3554362204.2511296,ARM1996
509,3672405405.76911,ARM1997
510,3940490999.9586,ARM1998
511,4070527203.11311,ARM1999
512,4310688308.039821,ARM2000
513,4722645335.9807205,ARM2001
514,5345387542.90141,ARM2002
515,6095922452.642771,ARM2003
516,6734033974.851629,ARM2004
517,7667755681.51717,ARM2005
518,8679746345.92189,ARM2006
519,9873142200.518791,ARM2007
520,10554389012.5207,ARM2008
521,9060944166.218409,ARM2009
522,9260284937.797821,ARM2010
523,9695518329.746359,ARM2011
524,10393595649.8063,ARM2012
525,10736584306.25,ARM2013
526,11123101341.2749,ARM2014
527,11479040584.1958,ARM2015
528,11501998665.3641,ARM2016
529,12364648565.2664,ARM2017
530,,ARM2018
531,,ASM1960
532,,ASM1961
533,,ASM1962
534,,ASM1963
535,,ASM1964
536,,ASM1965
537,,ASM1966
538,,ASM1967
539,,ASM1968
540,,ASM1969
541,,ASM1970
542,,ASM1971
543,,ASM1972
544,,ASM1973
545,,ASM1974
546,,ASM1975
547,,ASM1976
548,,ASM1977
549,,ASM1978
550,,ASM1979
551,,ASM1980
552,,ASM1981
553,,ASM1982
554,,ASM1983
555,,ASM1984
556,,ASM1985
557,,ASM1986
558,,ASM1987
559,,ASM1988
560,,ASM1989
561,,ASM1990
562,,ASM1991
563,,ASM1992
564,,ASM1993
565,,ASM1994
566,,ASM1995
567,,ASM1996
568,,ASM1997
569,,ASM1998
570,,ASM1999
571,,ASM2000
572,,ASM2001
573,623365638.76652,ASM2002
574,628440528.634361,ASM2003
575,631823788.546256,ASM2004
576,629286343.612335,ASM2005
577,603066079.295154,ASM2006
578,614907488.986784,ASM2007
579,598837004.405287,ASM2008
580,573462555.066079,ASM2009
581,576000000.0,ASM2010
582,577691629.9559469,ASM2011
583,552317180.61674,ASM2012
584,537092511.013216,ASM2013
585,542167400.881057,ASM2014
586,548933920.704846,ASM2015
587,534555066.07929504,ASM2016
588,505797356.828194,ASM2017
